database_From	name1	name2	chr	chromStart	chromEnd
UCSC	ENr231	filler	1	151158060	151658060
UCSC	ENr112	filler	2	51658704	52158704
UCSC	ENr121	filler	2	118294573	118794573
UCSC	ENr331	filler	2	220277345	220777345
UCSC	ENr131	filler	2	234491824	234991888
UCSC	ENr113	filler	4	118246655	118746655
UCSC	ENr221	filler	5	55835249	56335249
UCSC	ENm002	filler	5	131256414	132256414
UCSC	ENr212	filler	5	141899966	142399957
UCSC	ENr334	filler	6	41297916	41797916
UCSC	ENr223	filler	6	73733231	74233231
UCSC	ENr323	filler	6	108264703	108764703
UCSC	ENr222	filler	6	132176846	132676846
UCSC	ENm010	filler	7	26957520	27457520
UCSC	ENm013	filler	7	89783688	90898112
UCSC	ENm012	filler	7	113933132	114933132
UCSC	ENm001	filler	7	115810520	117687946
UCSC	ENm014	filler	7	126078655	127241852
UCSC	ENr321	filler	8	118813039	119313039
UCSC	ENr232	filler	9	131685301	132185301
UCSC	ENr324	filler	X	122782314	123282314
UCSC	ENm006	filler	X	153114297	154409887
UCSC	ENr114	filler	10	55483812	55983812
UCSC	ENm011	filler	11	1743415	2349463
UCSC	ENm009	filler	11	4774419	5776011
UCSC	ENr332	filler	11	64184312	64684312
UCSC	ENm003	filler	11	116457105	116957105
UCSC	ENr312	filler	11	131099587	131599587
UCSC	ENr123	filler	12	40340209	40840209
UCSC	ENr111	filler	13	30520015	31020015
UCSC	ENr132	filler	13	113290063	113790063
UCSC	ENr311	filler	14	53877325	54377325
UCSC	ENr322	filler	14	99388470	99888470
UCSC	ENr233	filler	15	43732796	44232796
UCSC	ENm008	filler	16	60000	559999
UCSC	ENr211	filler	16	25872926	26372927
UCSC	ENr313	filler	16	62276448	62776448
UCSC	ENr213	filler	18	25465233	25965233
UCSC	ENr122	filler	18	61261320	61761320
UCSC	ENm007	filler	19	54331772	55332648
UCSC	ENr333	filler	20	33841512	34341514
UCSC	ENm005	filler	21	33746365	35442351
UCSC	ENr133	filler	21	40322596	40822596
UCSC	ENm004	filler	22	31803953	33503953
