Database_From	Unique_ID_1(gene)	Unique_ID_2(transcript)	chr	chromStart	chromEnd
UCSC	MFS_1	Pfam_00001	1	8384669	8390667
UCSC	DUF1681	Pfam_00002	1	16767266	16778420
UCSC	DUF1681	Pfam_00003	1	16770128	16778420
UCSC	Orn_Arg_deC_N	Pfam_00004	1	33549582	33562404
UCSC	Orn_Arg_deC_N	Pfam_00005	1	33549723	33562404
UCSC	2-oxoacid_dh	Pfam_00006	1	100661821	100681568
UCSC	DHH	Pfam_00007	1	150981139	150998002
UCSC	zf-C3HC4	Pfam_00008	1	176145090	176175708
UCSC	Pkinase	Pfam_00009	1	2082295	2106732
UCSC	Pkinase_Tyr	Pfam_00010	1	2082295	2105404
UCSC	ICMT	Pfam_00011	1	6285222	6292152
UCSC	CG-1	Pfam_00012	1	6885232	7700499
UCSC	Pkinase	Pfam_00013	1	20971002	20976975
UCSC	Ephrin_lbd	Pfam_00014	1	23037533	23111350
UCSC	Stathmin	Pfam_00015	1	26212359	26231157
UCSC	Hydrolase	Pfam_00016	1	28301023	28337459
UCSC	Hydrolase	Pfam_00017	1	28303899	28337459
UCSC	Spectrin	Pfam_00018	1	39844976	39847684
UCSC	I-set	Pfam_00019	1	44035284	44044558
UCSC	I-set	Pfam_00020	1	44035284	44044558
UCSC	ig	Pfam_00021	1	44035326	44044540
UCSC	ig	Pfam_00022	1	44035326	44044540
UCSC	Peptidase_M14	Pfam_00023	1	49005401	49511329
UCSC	Peptidase_M14	Pfam_00024	1	49052666	49511329
UCSC	Ras	Pfam_00025	1	52385702	52442719
UCSC	Miro	Pfam_00026	1	52399046	52442719
UCSC	Thiolase_C	Pfam_00027	1	53446092	53480564
UCSC	CTF_NFI	Pfam_00028	1	61798198	61920990
UCSC	CTF_NFI	Pfam_00029	1	61798198	61872399
UCSC	UCH	Pfam_00030	1	62907220	62916107
UCSC	Glyco_transf_29	Pfam_00031	1	76540564	77094309
UCSC	VWA	Pfam_00032	1	87031668	87038356
UCSC	Laminin_EGF	Pfam_00033	1	107979289	108023244
UCSC	G-alpha	Pfam_00034	1	110091358	110134850
UCSC	Ras	Pfam_00035	1	113244202	113246402
UCSC	Miro	Pfam_00036	1	113245231	113246402
UCSC	DUF1220	Pfam_00037	1	144218579	144828713
UCSC	DUF1220	Pfam_00038	1	144221692	144827105
UCSC	DUF1220	Pfam_00039	1	144223346	144828713
UCSC	Microtub_assoc	Pfam_00040	1	144677348	144994688
UCSC	Microtub_assoc	Pfam_00041	1	144677348	144994634
UCSC	PDZ	Pfam_00042	1	145748530	145753994
UCSC	PDZ	Pfam_00043	1	145748530	145756584
UCSC	Tropomyosin	Pfam_00044	1	154130116	154155561
UCSC	Tropomyosin	Pfam_00045	1	154130116	154155561
UCSC	Tropomyosin	Pfam_00046	1	154130116	154155467
UCSC	Tropomyosin	Pfam_00047	1	154130116	154145672
UCSC	Tropomyosin	Pfam_00048	1	154130116	154144581
UCSC	Tropomyosin	Pfam_00049	1	154131452	154155561
UCSC	Tropomyosin	Pfam_00050	1	154131452	154155561
UCSC	Tropomyosin	Pfam_00051	1	154140414	154163759
UCSC	Glyco_hydro_30	Pfam_00052	1	155186648	155208411
UCSC	PBC	Pfam_00053	1	164529156	164769122
UCSC	Dynamin_N	Pfam_00054	1	171810896	172001574
UCSC	Fibrinogen_C	Pfam_00055	1	175097748	175116139
UCSC	PH	Pfam_00056	1	178063799	178410774
UCSC	Ank	Pfam_00057	1	180283850	180382502
UCSC	Ank	Pfam_00058	1	202318247	202385990
UCSC	MBOAT	Pfam_00059	1	210560833	210796951
UCSC	MBOAT	Pfam_00060	1	210573911	210796951
UCSC	MBOAT	Pfam_00061	1	210591510	210796951
UCSC	MBOAT	Pfam_00062	1	210637923	210796951
UCSC	bZIP_1	Pfam_00063	1	212860224	212870400
UCSC	bZIP_2	Pfam_00064	1	212860254	212870400
UCSC	fn3	Pfam_00065	1	215990460	216011375
UCSC	tRNA-synt_1c	Pfam_00066	1	220184385	220203761
UCSC	tRNA-synt_1c	Pfam_00067	1	220191478	220203761
UCSC	S-methyl_trans	Pfam_00068	1	236966781	236992514
UCSC	DEP	Pfam_00069	1	241033416	241262031
UCSC	DEP	Pfam_00070	1	241094052	241262031
UCSC	7tm_1	Pfam_00071	1	248512191	248512941
UCSC	AAA	Pfam_00072	1	1421993	1444600
UCSC	Pkinase	Pfam_00073	1	1571402	1573909
UCSC	Pkinase	Pfam_00074	1	1571417	1573924
UCSC	Pkinase	Pfam_00075	1	1571423	1573930
UCSC	Pkinase_Tyr	Pfam_00076	1	1572099	1573885
