datbase_from	type	gene_name	chr	start	end
reactome	SigTrans	OR4F5	1	69091	70008
reactome	SigTrans	OR4F29	1	367640	368634
reactome	SigTrans	OR4F16	1	621059	622053
reactome	Both	AGRN	1	955503	991496
reactome	SigTrans	TAS1R3	1	1266694	1270686
reactome	SigTrans	MIB2	1	1550801	1565990
reactome	SigTrans	GNB1	1	1716729	1822495
reactome	SigTrans	PRKCZ	1	1981909	2116834
reactome	SigTrans	SKI	1	2160134	2241558
reactome	SigTrans	HES5	1	2460184	2461684
reactome	SigTrans	ARHGEF16	1	3370990	3397677
reactome	SigTrans	NPHP4	1	5922878	6052531
reactome	SigTrans	PLEKHG5	1	6526152	6580069
reactome	SigTrans	TAS1R1	1	6615241	6639817
reactome	SigTrans	UTS2	1	7907682	7913095
reactome	SigTrans	PIK3CD	1	9711803	9788977
reactome	SigTrans	MTOR	1	11166592	11322564
reactome	SigTrans	DHRS3	1	12627939	12677737
reactome	SigTrans	CASP9	1	15818765	15850790
reactome	SigTrans	TAS1R2	1	19166093	19186176
reactome	SigTrans	HTR6	1	19991780	20006055
reactome	SigTrans	DDOST	1	20978270	20988000
reactome	SigTrans	HSPG2	1	22148738	22263790
reactome	Both	CDC42	1	22379161	22419437
reactome	SigTrans	WNT4	1	22443798	22469459
reactome	DevBio	EPHB2	1	23037458	23240236
reactome	SigTrans	HTR1D	1	23518388	23521222
reactome	SigTrans	CNR2	1	24197016	24239852
reactome	SigTrans	MAN1C1	1	25943959	26112698
reactome	Both	RPS6KA1	1	26856258	26901516
reactome	SigTrans	PTAFR	1	28473677	28503699
reactome	DevBio	MED18	1	28655549	28662476
reactome	SigTrans	OPRD1	1	29138654	29190208
reactome	SigTrans	PTPRU	1	29563028	29652173
reactome	SigTrans	SDC3	1	31345982	31381608
reactome	SigTrans	HCRTR1	1	32084641	32092792
reactome	SigTrans	LCK	1	32716840	32751766
reactome	SigTrans	HDAC1	1	32757687	32799236
reactome	SigTrans	PSMB2	1	36067185	36107445
reactome	SigTrans	AGO4	1	36273773	36323491
reactome	SigTrans	AGO1	1	36348810	36395211
reactome	SigTrans	AGO3	1	36396679	36538101
reactome	SigTrans	INPP5B	1	38326369	38397421
reactome	SigTrans	HEYL	1	40089825	40105617
reactome	DevBio	CAP1	1	40505905	40538321
reactome	Both	COL9A2	1	40766159	40782966
reactome	SigTrans	EDN2	1	41944446	41950342
reactome	DevBio	MED8	1	43849588	43855479
reactome	SigTrans	ST3GAL3	1	44173216	44395891
reactome	DevBio	ARTN	1	44398992	44402913
reactome	SigTrans	ATP6V0B	1	44440320	44443966
reactome	SigTrans	B4GALT2	1	44445108	44456840
reactome	SigTrans	PTCH2	1	45287605	45308735
reactome	SigTrans	PIK3R3	1	46505812	46598314
reactome	SigTrans	MKNK1	1	47023090	47069886
reactome	SigTrans	EPS15	1	51819935	51985000
reactome	SigTrans	ZFYVE9	1	52608046	52729719
reactome	SigTrans	LRP8	1	53711217	53793686
reactome	SigTrans	PRKAA2	1	57110995	57181008
reactome	SigTrans	JUN	1	59246465	59249785
reactome	SigTrans	ALG6	1	63833261	63904233
reactome	SigTrans	ITGB3BP	1	63906444	63988865
reactome	SigTrans	LEPR	1	65886335	66096105
reactome	SigTrans	PDE4B	1	66258197	66839961
reactome	SigTrans	INSL5	1	67263424	67266939
reactome	SigTrans	GNG12	1	68167149	68299150
reactome	SigTrans	WLS	1	68564156	68698228
reactome	SigTrans	RPE65	1	68894505	68915642
reactome	SigTrans	PTGER3	1	71318036	71513471
reactome	SigTrans	PTGFR	1	78769568	79005434
reactome	SigTrans	PRKACB	1	84543745	84704181
