database_from	hg19.refGene.name2	#hg19.ccdsGene.name	9.ccdsGene.chrom	hg19.ccdsGene.txStart	hg19.ccdsGene.txEnd
CCDS_v15	SGIP1	CCDS30744.1	1	67000041	67208778
CCDS_v15	SLC45A1	CCDS30577.1	1	8384389	8404073
CCDS_v15	NECAP2	CCDS44067.1	1	16767256	16785385
CCDS_v15	NECAP2	CCDS44066.1	1	16767256	16785491
CCDS_v15	NECAP2	CCDS173.1	1	16767256	16785385
CCDS_v15	CLIC4	CCDS256.1	1	25072044	25167428
CCDS_v15	ADC	CCDS375.1	1	33547850	33585783
CCDS_v15	AGBL4	CCDS44137.1	1	48999844	50489468
CCDS_v15	TGFBR3	CCDS55614.1	1	92149295	92327088
CCDS_v15	TGFBR3	CCDS30770.1	1	92149295	92327088
CCDS_v15	DBT	CCDS767.1	1	100661810	100715376
CCDS_v15	PRUNE	CCDS977.1	1	150981108	151006710
CCDS_v15	RFWD2	CCDS44279.1	1	175914288	176176114
CCDS_v15	RFWD2	CCDS30944.1	1	175914288	176176114
CCDS_v15	C1orf21	CCDS1362.1	1	184446643	184588690
CCDS_v15	LIN9	CCDS1553.1	1	226420201	226496888
CCDS_v15	PRKCZ	CCDS37.1	1	1982069	2116448
CCDS_v15	PRKCZ	CCDS55563.1	1	2005692	2116448
CCDS_v15	PRKCZ	CCDS41229.1	1	2075777	2116448
CCDS_v15	PRDM16	CCDS44048.2	1	2985823	3350375
CCDS_v15	PRDM16	CCDS41236.2	1	2985823	3350375
CCDS_v15	ICMT	CCDS61.1	1	6285139	6295971
CCDS_v15	CAMTA1	CCDS30576.1	1	6845590	7826551
CCDS_v15	PINK1	CCDS211.1	1	20960041	20977184
CCDS_v15	USP48	CCDS30623.1	1	22005909	22109450
CCDS_v15	EPHB2	CCDS230.1	1	23037475	23240063
CCDS_v15	EPHB2	CCDS229.2	1	23037475	23240063
CCDS_v15	STMN1	CCDS44090.1	1	26212213	26231167
CCDS_v15	NUDC	CCDS292.1	1	27248339	27272672
CCDS_v15	EYA3	CCDS60051.1	1	28300976	28384537
CCDS_v15	EYA3	CCDS60050.1	1	28300976	28365414
CCDS_v15	EYA3	CCDS316.1	1	28300976	28384537
CCDS_v15	EYA3	CCDS60052.1	1	28303792	28384537
CCDS_v15	EPB41	CCDS53289.1	1	29313949	29391691
CCDS_v15	EPB41	CCDS53288.1	1	29313949	29442309
CCDS_v15	EPB41	CCDS330.1	1	29313949	29442309
CCDS_v15	EPB41	CCDS332.1	1	29320000	29442309
CCDS_v15	EPB41	CCDS331.1	1	29320000	29442309
CCDS_v15	PUM1	CCDS44099.1	1	31406057	31532413
CCDS_v15	PUM1	CCDS338.1	1	31406057	31532413
CCDS_v15	KHDRBS1	CCDS60067.1	1	32479596	32508225
