database_from	name	id	chr	start	end
CCDS	SGIP1	CCDS30744.1	1	67000041	67208778
CCDS	SLC45A1	CCDS30577.1	1	8384389	8404073
CCDS	NECAP2	CCDS44067.1	1	16767256	16785385
CCDS	NECAP2	CCDS44066.1	1	16767256	16785491
CCDS	NECAP2	CCDS173.1	1	16767256	16785385
CCDS	CLIC4	CCDS256.1	1	25072044	25167428
CCDS	ADC	CCDS375.1	1	33547850	33585783
CCDS	AGBL4	CCDS44137.1	1	48999844	50489468
CCDS	TGFBR3	CCDS55614.1	1	92149295	92327088
CCDS	TGFBR3	CCDS30770.1	1	92149295	92327088
CCDS	DBT	CCDS767.1	1	100661810	100715376
CCDS	PRUNE	CCDS977.1	1	150981108	151006710
CCDS	RFWD2	CCDS44279.1	1	175914288	176176114
CCDS	RFWD2	CCDS30944.1	1	175914288	176176114
CCDS	C1orf21	CCDS1362.1	1	184446643	184588690
CCDS	LIN9	CCDS1553.1	1	226420201	226496888
CCDS	PRKCZ	CCDS37.1	1	1982069	2116448
CCDS	PRKCZ	CCDS55563.1	1	2005692	2116448
CCDS	PRKCZ	CCDS41229.1	1	2075777	2116448
CCDS	PRDM16	CCDS44048.2	1	2985823	3350375
CCDS	PRDM16	CCDS41236.2	1	2985823	3350375
CCDS	ICMT	CCDS61.1	1	6285139	6295971
CCDS	CAMTA1	CCDS30576.1	1	6845590	7826551
CCDS	PINK1	CCDS211.1	1	20960041	20977184
CCDS	USP48	CCDS30623.1	1	22005909	22109450
CCDS	EPHB2	CCDS230.1	1	23037475	23240063
CCDS	EPHB2	CCDS229.2	1	23037475	23240063
CCDS	STMN1	CCDS44090.1	1	26212213	26231167
CCDS	NUDC	CCDS292.1	1	27248339	27272672
CCDS	EYA3	CCDS60051.1	1	28300976	28384537
CCDS	EYA3	CCDS60050.1	1	28300976	28365414
CCDS	EYA3	CCDS316.1	1	28300976	28384537
CCDS	EYA3	CCDS60052.1	1	28303792	28384537
CCDS	EPB41	CCDS53289.1	1	29313949	29391691
CCDS	EPB41	CCDS53288.1	1	29313949	29442309
CCDS	EPB41	CCDS330.1	1	29313949	29442309
CCDS	EPB41	CCDS332.1	1	29320000	29442309
CCDS	EPB41	CCDS331.1	1	29320000	29442309
CCDS	PUM1	CCDS44099.1	1	31406057	31532413
CCDS	PUM1	CCDS338.1	1	31406057	31532413
CCDS	KHDRBS1	CCDS60067.1	1	32479596	32508225
CCDS	KHDRBS1	CCDS350.1	1	32479596	32508225
CCDS	CSMD2	CCDS60082.1	1	33985117	34630698
CCDS	CSMD2	CCDS380.1	1	33985117	34631414
CCDS	SFPQ	CCDS388.1	1	35650056	35658650
CCDS	MACF1	CCDS435.1	1	39549890	39951466
CCDS	PTPRF	CCDS490.2	1	44010746	44087674
CCDS	PTPRF	CCDS489.2	1	44010746	44087674
CCDS	RNF220	CCDS510.1	1	44877769	45116447
CCDS	TRABD2B	CCDS58000.1	1	48231573	48462461
CCDS	FAF1	CCDS554.1	1	50907111	51425483
CCDS	RAB3B	CCDS560.1	1	52385598	52442789
CCDS	SCP2	CCDS53318.1	1	53393068	53516376
CCDS	SCP2	CCDS53317.1	1	53393068	53516376
CCDS	SCP2	CCDS572.1	1	53393068	53516376
CCDS	SCP2	CCDS53319.1	1	53416470	53516376
CCDS	TCEANC2	CCDS587.1	1	54520095	54562146
CCDS	USP24	CCDS44154.2	1	55534717	55680786
CCDS	DAB1	CCDS607.1	1	57476367	57756702
CCDS	NFIA	CCDS53321.1	1	61543297	61920992
CCDS	NFIA	CCDS53322.1	1	61547615	61920992
CCDS	NFIA	CCDS44156.1	1	61548463	61920992
CCDS	NFIA	CCDS615.1	1	61548463	61921051
CCDS	USP1	CCDS621.1	1	62905538	62916652
CCDS	ITGB3BP	CCDS55603.1	1	63912477	63988804
CCDS	ITGB3BP	CCDS30736.1	1	63912477	63988804
CCDS	CACHD1	CCDS628.2	1	64936580	65157244
CCDS	LEPR	CCDS55604.1	1	66031248	66091853
CCDS	LEPR	CCDS30741.1	1	66031248	66096088
CCDS	LEPR	CCDS30740.1	1	66031248	66098852
CCDS	LEPR	CCDS631.1	1	66031248	66102698
CCDS	LRRC7	CCDS645.1	1	70225887	70587570
CCDS	NEGR1	CCDS661.1	1	71873128	72748177
CCDS	ST6GALNAC3	CCDS672.1	1	76540551	77094491
CCDS	PIGK	CCDS674.1	1	77558058	77685087
CCDS	CLCA4	CCDS41355.1	1	87012802	87046028
CCDS	LRRC8C	CCDS725.1	1	90152032	90180541
CCDS	FAM69A	CCDS44173.1	1	93308939	93426986
CCDS	GCLM	CCDS746.1	1	94354545	94374719
CCDS	NTNG1	CCDS44180.1	1	107691215	108023462
CCDS	NTNG1	CCDS44179.1	1	107691215	108023462
CCDS	NTNG1	CCDS30785.1	1	107691215	108023462
CCDS	GNAI3	CCDS802.1	1	110091342	110134855
CCDS	RHOC	CCDS854.1	1	113244161	113246421
CCDS	PHTF1	CCDS861.1	1	114240326	114301325
CCDS	WDR3	CCDS898.1	1	118475942	118502070
CCDS	NOTCH2	CCDS908.1	1	120457928	120612020
CCDS	PDZK1	CCDS55629.1	1	145747043	145763623
CCDS	PDZK1	CCDS924.1	1	145747043	145763623
CCDS	OTUD7B	CCDS41389.1	1	149915755	149949445
CCDS	TPM3	CCDS60274.1	1	154130114	154145673
CCDS	TPM3	CCDS41400.1	1	154130114	154155595
CCDS	TPM3	CCDS1060.1	1	154130114	154155595
CCDS	TPM3	CCDS60275.1	1	154130193	154155595
CCDS	TPM3	CCDS41402.1	1	154131444	154155595
CCDS	TPM3	CCDS41401.1	1	154131444	154155595
CCDS	TPM3	CCDS41403.1	1	154140412	154164494
CCDS	SMG5	CCDS1137.1	1	156220377	156252471
CCDS	FCGR2A	CCDS44264.1	1	161475257	161487938
CCDS	FCGR2A	CCDS30922.1	1	161475257	161487938
CCDS	PBX1	CCDS55654.1	1	164529059	164790820
CCDS	PBX1	CCDS55653.1	1	164529059	164818639
CCDS	PBX1	CCDS1246.1	1	164529059	164815913
CCDS	MROH9	CCDS53429.1	1	170914697	171033481
CCDS	MROH9	CCDS41436.1	1	170914697	170967541
CCDS	DNM3	CCDS60356.1	1	171810796	172102037
CCDS	DNM3	CCDS53431.1	1	171810796	172376981
CCDS	DNM3	CCDS44276.1	1	171810796	172376981
CCDS	TNFSF18	CCDS1305.2	1	173010506	173020102
CCDS	TNN	CCDS30943.1	1	175046554	175116207
CCDS	FAM5B	CCDS1320.1	1	177199012	177250664
CCDS	RASAL2	CCDS1321.2	1	178063627	178442374
CCDS	SOAT1	CCDS1330.1	1	179271819	179322776
CCDS	SOAT1	CCDS58047.1	1	179271934	179322776
CCDS	SOAT1	CCDS58048.1	1	179304658	179322776
CCDS	ACBD6	CCDS1339.1	1	180257497	180471401
CCDS	RGSL1	CCDS58049.1	1	182419300	182525192
CCDS	SMG7	CCDS53444.1	1	183441755	183521066
CCDS	SMG7	CCDS41445.2	1	183441755	183522336
CCDS	SMG7	CCDS1355.1	1	183441755	183521066
CCDS	SMG7	CCDS53445.1	1	183485073	183521066
CCDS	PTGS2	CCDS1371.1	1	186643484	186649422
CCDS	ZBTB41	CCDS30960.1	1	197128488	197169603
CCDS	PPP1R12B	CCDS53459.1	1	202317979	202406968
CCDS	PPP1R12B	CCDS53458.1	1	202317979	202407242
CCDS	PPP1R12B	CCDS1426.1	1	202317979	202549688
CCDS	HHAT	CCDS53471.1	1	210502354	210847721
CCDS	HHAT	CCDS53473.1	1	210522319	210847721
CCDS	HHAT	CCDS53472.1	1	210522319	210847721
CCDS	HHAT	CCDS1495.1	1	210522319	210847721
CCDS	BATF3	CCDS1508.1	1	212860132	212873104
CCDS	USH2A	CCDS31025.1	1	215799122	216595678
CCDS	EPRS	CCDS31027.1	1	220142147	220219730
CCDS	TRIM11	CCDS31048.1	1	228582405	228594262
CCDS	NUP133	CCDS1579.1	1	229577650	229643996
CCDS	LYST	CCDS31062.1	1	235826239	235993717
CCDS	MTR	CCDS1614.1	1	236959003	237060944
CCDS	RGS7	CCDS60458.1	1	240939462	241519076
CCDS	RGS7	CCDS31071.1	1	240939462	241519076
CCDS	RGS7	CCDS60459.1	1	240963946	241519076
CCDS	RGS7	CCDS60457.1	1	240963946	241519076
CCDS	KIF26B	CCDS44342.1	1	245318726	245865908
CCDS	SMYD3	CCDS53486.1	1	245912864	246670519
CCDS	SMYD3	CCDS31083.1	1	245912864	246518383
CCDS	ZNF496	CCDS1631.1	1	247463820	247492880
CCDS	OR14C36	CCDS31112.1	1	248512076	248513015
CCDS	FAM132A	CCDS30554.1	1	1177927	1182070
CCDS	SKI	CCDS39.1	1	2160205	2238204
CCDS	TNFRSF14	CCDS44046.1	1	2488103	2494712
CCDS	TTC34	CCDS55565.1	1	2572806	2706156
CCDS	MEGF6	CCDS41237.1	1	3407091	3527832
CCDS	CCDC27	CCDS50.1	1	3669045	3688087
CCDS	AJAP1	CCDS54.1	1	4715485	4834559
CCDS	NPHP4	CCDS44052.1	1	5923324	6046349
CCDS	ACOT7	CCDS30573.1	1	6324656	6453459
CCDS	ACOT7	CCDS65.1	1	6324656	6445726
CCDS	PLEKHG5	CCDS57969.1	1	6527622	6557091
CCDS	PLEKHG5	CCDS41241.1	1	6527622	6557383
CCDS	PLEKHG5	CCDS41240.1	1	6527622	6579571
CCDS	CAMTA1	CCDS55575.1	1	6845590	6947785
CCDS	PER3	CCDS89.1	1	7844937	7902815
CCDS	TNFRSF9	CCDS92.1	1	7980894	8000054
CCDS	RERE	CCDS95.1	1	8415146	8716356
CCDS	GPR157	CCDS100.2	1	9164477	9189086
CCDS	H6PD	CCDS101.1	1	9304993	9324928
CCDS	CLSTN1	CCDS30580.1	1	9790565	9883791
CCDS	CLSTN1	CCDS105.1	1	9790565	9883791
CCDS	UBE4B	CCDS41245.1	1	10093728	10240014
CCDS	UBE4B	CCDS110.1	1	10093728	10240014
CCDS	KIF1B	CCDS112.1	1	10292386	10364705
CCDS	KIF1B	CCDS111.1	1	10292386	10436645
CCDS	PEX14	CCDS30582.1	1	10535023	10690044
CCDS	CASZ1	CCDS41246.1	1	10698998	10753946
CCDS	CASZ1	CCDS120.2	1	10707853	10753946
CCDS	C1orf127	CCDS53267.1	1	11007719	11042094
CCDS	EXOSC10	CCDS30584.1	1	11126774	11159888
CCDS	EXOSC10	CCDS126.1	1	11126774	11159888
CCDS	MTOR	CCDS127.1	1	11167541	11319466
CCDS	AGTRAP	CCDS44056.1	1	11796265	11810161
CCDS	AGTRAP	CCDS41248.1	1	11796265	11808650
CCDS	AGTRAP	CCDS30586.1	1	11796265	11810161
CCDS	AGTRAP	CCDS30585.1	1	11796265	11810249
CCDS	AGTRAP	CCDS136.1	1	11796265	11810249
CCDS	MFN2	CCDS30587.1	1	12049225	12071622
