database	gene	score	chr	start	stop
haploins_v3	CD226	0	18	67498394	67629039
haploins_v3	HYPM	0.000043663	X	37850070	37850569
haploins_v3	ANXA2R	0.000047349	5	43039335	43043272
haploins_v3	SCGB1D1	0.000054551	11	61957688	61961011
haploins_v3	IL31	0.000057228	12	122656577	122658746
haploins_v3	BPIFA2	0.000061264	20	31749574	31769218
haploins_v3	MUCL1	0.000067779	12	55224303	55252177
haploins_v3	RNASE9	0.000076382	14	21024252	21029090
haploins_v3	ULBP3	0.000077292	6	150384286	150390231
haploins_v3	SCGB2A1	0.000083521	11	61976140	61981408
haploins_v3	DEFB126	0.000084056	20	123010	126392
haploins_v3	SCGB1D2	0.000084253	11	62009682	62012280
haploins_v3	IL32	0.000095479	16	3115298	3131908
haploins_v3	VN1R1	0.0000985	19	57966542	57967854
haploins_v3	DEFB118	0.000101783	20	29956421	29961726
haploins_v3	CTAG2	0.000106023	X	153880246	153881853
haploins_v3	ANTXRL	0.000107209	10	47657581	47701443
haploins_v3	RHOXF1	0.000113656	X	119243011	119249847
haploins_v3	SPINT3	0.000117145	20	44141101	44144264
haploins_v3	RARRES3	0.000119467	11	63304281	63313934
haploins_v3	TAS2R1	0.000123448	5	9629109	9712490
haploins_v3	GML	0.000127964	8	143915663	143997922
haploins_v3	NLRP4	0.000132683	19	56347944	56393220
haploins_v3	ZG16B	0.000138453	16	2880170	2888967
haploins_v3	PRR27	0.000141121	4	70999333	71042516
haploins_v3	APOL6	0.000141569	22	36044442	36064456
haploins_v3	PIP	0.000142518	7	142829170	142836839
haploins_v3	MUC13	0.000146036	3	124624289	124672663
haploins_v3	LACRT	0.000146265	12	55024595	55028679
haploins_v3	SPANXN3	0.000151279	X	142596564	142605303
haploins_v3	CXorf67	0.00015218	X	51149767	51151687
haploins_v3	PLET1	0.000152446	11	112118876	112131583
haploins_v3	PASD1	0.000158076	X	150732094	150845211
haploins_v3	SPATA31E1	0.000162728	9	90497741	90503814
haploins_v3	OR2AK2	0.000164543	1	248128535	248129641
haploins_v3	C17orf77	0.000167879	17	72580818	72590348
haploins_v3	RLN2	0.000172185	9	5299868	5304969
haploins_v3	SCGB2A2	0.000176599	11	62037627	62040628
haploins_v3	KIR3DX1	0.000180892	19	55043909	55057053
haploins_v3	DEFB132	0.000181489	20	238377	241737
haploins_v3	HRNR	0.000187528	1	152184558	152196669
haploins_v3	BTNL3	0.000187916	5	180415845	180433727
haploins_v3	LAIR2	0.000188307	19	55009100	55021897
haploins_v3	CARD18	0.0001896	11	105008448	105010453
haploins_v3	MUC22	0.000197145	6	30978251	31003179
haploins_v3	GYPA	0.000199751	4	145030457	145061904
haploins_v3	TXNDC2	0.000199906	18	9885763	9889272
haploins_v3	RHOXF2B	0.000200893	X	119205848	119211707
haploins_v3	MAGEA9B	0.000201307	X	148663309	148669116
haploins_v3	APOL3	0.000202491	22	36536372	36562225
haploins_v3	LAGE3	0.00020457	X	153706028	153707596
haploins_v3	WFDC12	0.000204864	20	43752066	43753106
haploins_v3	OR2M2	0.000205221	1	248343288	248344331
haploins_v3	TP53AIP1	0.000209298	11	128804626	128813040
haploins_v3	CST9	0.000211007	20	23583047	23586513
haploins_v3	DEFB4B	0.000218017	8	7272382	7274385
haploins_v3	TAS2R14	0.00022192	12	11090005	11324172
haploins_v3	FLG	0.000223203	1	152274651	152297679
haploins_v3	C3orf30	0.00022372	3	118864997	118878889
haploins_v3	CD58	0.000224215	1	117057157	117113661
haploins_v3	RFPL4A	0.000229401	19	56270380	56274541
haploins_v3	HSFX2	0.000230502	X	148855725	148858528
haploins_v3	DEFB125	0.000231187	20	67891	77735
haploins_v3	DEFB112	0.000236556	6	50011288	50016364
haploins_v3	URB1-AS1	0.000239892	21	33765439	33766254
haploins_v3	MRGPRX2	0.000240367	11	19076002	19082228
