database_from	OMIM_gene_ids_Gene	Omim_Number	chr	txStart	txEnd
omim	NOC2L	610770	1	889805	894689
omim	HES4	608060	1	934343	935491
omim	ISG15	147571	1	948802	949920
omim	AGRN	103320	1	969485	976105
omim	MIR200B	612091	1	1102483	1102578
omim	MIR200A	612090	1	1103242	1103332
omim	MIR429	612094	1	1104384	1104467
omim	TNFRSF18	603905	1	1139223	1141060
omim	TNFRSF4	600315	1	1147398	1148878
omim	SDF4	614282	1	1152287	1167381
omim	B3GALT6	615291	1	1167628	1170421
omim	SCNN1D	601328	1	1215815	1227399
omim	CPSF3L	611354	1	1246985	1260033
omim	GLTPD1	615467	1	1260146	1264277
omim	TAS1R3	605865	1	1266693	1270686
omim	DVL1	601365	1	1270655	1284730
omim	AURKAIP1	609183	1	1309109	1310875
omim	CCNL2	613482	1	1322501	1327029
omim	MRPL20	611833	1	1337287	1342693
omim	VWA1	611901	1	1370902	1378262
omim	ATAD3B	612317	1	1407142	1418486
omim	ATAD3A	612316	1	1447530	1470065
omim	MIB2	611141	1	1551689	1565984
omim	MMP23B	603321	1	1567557	1570030
omim	CDK11B	176873	1	1571099	1588714
omim	CDK11A	116951	1	1634319	1655763
omim	NADK	611616	1	1682677	1709909
omim	GNB1	139380	1	1716728	1822495
omim	CALML6	610171	1	1846265	1848733
omim	GABRD	137163	1	1950779	1962192
omim	PRKCZ	176982	1	2004900	2116829
omim	C1orf86	615183	1	2120989	2130427
omim	SKI	164780	1	2160133	2241558
omim	PEX10	602859	1	2336257	2344010
omim	PLCH2	612836	1	2357418	2436969
omim	PANK4	606162	1	2439975	2458035
omim	HES5	607348	1	2460183	2461684
omim	TNFRSF14	602746	1	2487843	2490595
omim	ACTRT2	608535	1	2938045	2939465
omim	PRDM16	605557	1	2985731	3350906
omim	MEGF6	604266	1	3406483	3448012
omim	MIR551A	615148	1	3477258	3477354
omim	TPRG1L	611460	1	3541565	3546691
omim	WRAP73	606040	1	3547330	3566622
omim	TP73	601990	1	3569128	3650467
omim	SMIM1	615242	1	3689351	3692546
omim	DFFB	601883	1	3773844	3801993
omim	AJAP1	610972	1	4771214	4772225
omim	NPHP4	607215	1	5922877	6052531
omim	KCNAB2	601142	1	6095976	6101822
omim	CHD5	610771	1	6161852	6240183
omim	RPL22	180474	1	6245079	6259672
omim	ICMT	605851	1	6281957	6283562
omim	HES3	609971	1	6304251	6305638
omim	GPR153	614269	1	6307405	6321035
omim	ACOT7	602587	1	6324332	6445873
omim	HES2	609970	1	6473109	6476691
omim	ESPN	606351	1	6508844	6521004
omim	TNFRSF25	603366	1	6521210	6526255
omim	PLEKHG5	611101	1	6527181	6580121
omim	TAS1R1	606225	1	6615240	6639817
omim	ZBTB48	165270	1	6640107	6649340
omim	THAP3	612532	1	6684925	6693625
omim	DNAJC11	614827	1	6694227	6705117
omim	CAMTA1	611501	1	6845383	7829766
omim	VAMP3	603657	1	7832766	7839866
omim	PER3	603427	1	7844762	7905237
omim	UTS2	604097	1	7907825	7913491
omim	TNFRSF9	602250	1	7979906	8000926
omim	PARK7	602533	1	8021722	8045339
omim	ERRFI1	608069	1	8064463	8086343
omim	SLC45A1	605763	1	8384389	8404227
omim	RERE	605226	1	8425914	8483479
omim	ENO1	172430	1	8921060	8938749
omim	CA6	114780	1	9005921	9011762
omim	SLC2A7	610371	1	9063358	9086404
omim	SLC2A5	138230	1	9100138	9129663
omim	MIR34A	611172	1	9211726	9211836
omim	H6PD	138090	1	9299902	9327957
omim	SPSB1	611657	1	9352938	9429591
omim	SLC25A33	610816	1	9599540	9642831
omim	PIK3CD	602839	1	9778126	9782192
omim	CLSTN1	611321	1	9789085	9884042
omim	CTNNBIP1	607758	1	9908333	9970321
omim	LZIC	610458	1	9990194	10003422
omim	NMNAT1	608700	1	10003485	10045556
omim	RBP7	608604	1	10057273	10076078
omim	UBE4B	613565	1	10093653	10241297
omim	KIF1B	605995	1	10270862	10368655
omim	PGD	172200	1	10459174	10480108
omim	APITD1	609130	1	10490499	10502866
omim	CORT	602784	1	10509970	10511955
omim	DFFA	601882	1	10516578	10532583
omim	PEX14	601791	1	10534943	10690815
omim	CASZ1	609895	1	10696660	10856705
omim	TARDBP	605078	1	11072740	11082915
omim	MASP2	605102	1	11104854	11107290
omim	SRM	182891	1	11114645	11120081
omim	EXOSC10	605960	1	11140757	11142680
omim	MTOR	601231	1	11166591	11191615
omim	UBIAD1	611632	1	11333584	11355221
omim	PTCHD2	611251	1	11539222	11542017
omim	FBXO2	607112	1	11708423	11714739
omim	FBXO44	609111	1	11714966	11721406
omim	FBXO6	605647	1	11724180	11734411
omim	MAD2L2	604094	1	11734804	11751666
omim	DRAXIN	612682	1	11751785	11785914
omim	AGTRAP	608729	1	11796198	11810545
omim	MTHFR	607093	1	11848350	11865470
omim	CLCN6	602726	1	11866206	11903201
omim	NPPA	108780	1	11905765	11907840
omim	NPPB	600295	1	11917520	11918988
omim	PLOD1	153454	1	11994261	12018677
omim	MFN2	608507	1	12040237	12073571
omim	MIIP	608772	1	12082278	12092032
omim	TNFRSF8	153243	1	12185955	12204264
omim	TNFRSF1B	191191	1	12227059	12269285
omim	VPS13D	608877	1	12427724	12572099
omim	DHRS3	612830	1	12627938	12677737
omim	LRRC38	615212	1	13801444	13840543
omim	PDPN	608863	1	13910764	13943059
omim	PRDM2	601196	1	14026734	14151560
omim	CTRC	601405	1	15764934	15773149
omim	CELA2A	609443	1	15783241	15784118
omim	CELA2B	609444	1	15802595	15817895
omim	CASP9	602234	1	15818764	15850790
omim	RSC1A1	601966	1	15986363	15988217
omim	PLEKHM2	609613	1	16010826	16061264
omim	SLC25A34	610817	1	16064277	16065830
omim	FBLIM1	607747	1	16083153	16113089
omim	SPEN	613484	1	16199996	16203206
omim	ZBTB17	604084	1	16268365	16302627
omim	HSPB7	610692	1	16340522	16346089
omim	CLCNKA	602024	1	16345369	16360545
omim	CLCNKB	602023	1	16370271	16383803
omim	EPHA2	176946	1	16450831	16482582
omim	ARHGEF19	612496	1	16524598	16539104
omim	FBXO42	609109	1	16618808	16641862
omim	NECAP2	611624	1	16767218	16786572
omim	NBPF1	610501	1	16892934	16905862
omim	RNU1-4	180680	1	17067010	17067174
omim	MFAP2	156790	1	17300996	17307116
omim	ATP13A2	610513	1	17312452	17338423
omim	SDHB	185470	1	17359024	17380526
omim	PADI2	607935	1	17394280	17409921
omim	PADI1	607934	1	17559849	17571603
omim	PADI3	606755	1	17575592	17610728
omim	PADI4	605347	1	17634691	17690499
omim	PADI6	610363	1	17698690	17728195
omim	RCC2	609587	1	17733255	17766220
omim	ARHGEF10L	612494	1	17907047	18024144
omim	PAX7	167410	1	18958017	19062596
omim	TAS1R2	606226	1	19166092	19186176
omim	ALDH4A1	606811	1	19197925	19229047
omim	UBR4	609890	1	19400999	19536770
omim	AKR7L	608478	1	19593596	19600688
omim	AKR7A3	608477	1	19609051	19615744
omim	AKR7A2	603418	1	19630458	19638640
omim	PQLC2	614760	1	19638819	19655794
omim	CAPZB	601572	1	19665269	19812007
omim	NBL1	600613	1	19969725	19983622
omim	HTR6	601109	1	19991779	20006055
omim	OTUD3	611758	1	20209005	20239438
omim	PLA2G2A	172411	1	20301924	20306932
omim	PLA2G5	601192	1	20354671	20417683
omim	PLA2G2D	605630	1	20438431	20446050
omim	CAMK2N1	614986	1	20809679	20811138
omim	MUL1	612037	1	20825942	20834654
omim	CDA	123920	1	20915440	20945401
omim	PINK1	608309	1	20959947	20978004
omim	DDOST	602202	1	20978269	20988000
omim	KIF17	605037	1	20990506	21024932
omim	EIF4G3	603929	1	21133702	21377453
omim	ECE1	600423	1	21545076	21606042
omim	NBPF3	612992	1	21766656	21811393
omim	ALPL	171760	1	21880574	21904902
omim	RAP1GAP	600278	1	21922707	21978348
omim	HSPG2	142461	1	22172715	22181889
omim	CDC42	116952	1	22379203	22418282
omim	WNT4	603490	1	22446520	22470385
omim	ZBTB40	612106	1	22778359	22857647
omim	EPHA8	176945	1	22890056	22916114
omim	C1QA	120550	1	22964072	22966101
omim	C1QC	120575	1	22970122	22974603
omim	C1QB	120570	1	22979681	22988029
omim	EPHB2	600997	1	23037331	23217758
omim	KDM1A	609132	1	23345985	23410181
omim	LUZP1	601422	1	23416919	23495310
omim	HTR1D	182133	1	23516992	23520755
omim	HNRNPR	607201	1	23636885	23670773
omim	ZNF436	611703	1	23685940	23695935
omim	TCEA3	604128	1	23729973	23751200
omim	E2F2	600426	1	23842850	23845888
omim	ID3	600277	1	23884408	23886285
omim	MDS2	607305	1	23953823	23967058
omim	RPL11	604175	1	24018268	24022915
omim	TCEB3	600786	1	24070523	24077434
omim	GALE	606953	1	24124816	24127242
omim	HMGCL	613898	1	24128376	24165110
omim	FUCA1	612280	1	24171566	24194784
omim	CNR2	605051	1	24197015	24239852
omim	PNRC2	611882	1	24286301	24289952
omim	SRSF10	605221	1	24295572	24306817
omim	IL22RA1	605457	1	24446260	24469611
omim	IFNLR1	607404	1	24487867	24513738
omim	GRHL3	608317	1	24646055	24681808
omim	RCAN3	605860	1	24840836	24861847
omim	SRRM1	605975	1	24969798	24998086
omim	CLIC4	606536	1	25071847	25170815
omim	RUNX3	600210	1	25226001	25291501
omim	SYF2	607090	1	25549169	25558984
omim	RHD	111680	1	25599038	25655702
omim	TMEM50A	605348	1	25664813	25687770
omim	RHCE	111700	1	25729086	25747339
omim	TMEM57	610301	1	25757387	25826700
omim	LDLRAP1	605747	1	25879854	25895375
omim	SEPN1	606210	1	26139218	26142481
omim	PAQR7	607779	1	26187700	26197744
omim	STMN1	151442	1	26226592	26232957
omim	PAFAH2	602344	1	26308854	26324547
omim	EXTL1	601738	1	26349679	26358046
omim	SLC30A2	609617	1	26369929	26371942
omim	TRIM63	606131	1	26387734	26394927
omim	PDIK1L	610785	1	26438339	26450524
omim	CNKSR1	603272	1	26503980	26509709
omim	CATSPER4	609121	1	26517051	26529459
omim	UBXN11	609151	1	26607818	26633127
omim	CD52	114280	1	26644448	26645485
omim	LIN28A	611043	1	26737307	26756210
omim	DHDDS	608172	1	26758832	26774667
omim	HMGN2	163910	1	26799919	26801851
omim	RPS6KA1	601684	1	26857818	26900922
omim	ARID1A	603024	1	27099454	27107650
omim	PIGV	610274	1	27114678	27124649
omim	SFN	601290	1	27189632	27190947
omim	NR0B2	604630	1	27237979	27240457
omim	NUDC	610325	1	27271625	27272675
omim	SLC9A1	107310	1	27426577	27480973
omim	SYTL1	608042	1	27674034	27680421
omim	MAP3K6	604468	1	27681881	27693357
omim	FCN3	604973	1	27695602	27701315
omim	GPR3	600241	1	27719147	27722318
omim	WASF2	605875	1	27730729	27816669
omim	FGR	164940	1	27949917	27952751
omim	IFI6	147572	1	27992574	27998689
omim	STX12	606892	1	28099765	28128550
omim	PPP1R8	602636	1	28157324	28178039
omim	RPA2	179836	1	28218583	28241024
omim	EYA3	601655	1	28303783	28415075
omim	PTAFR	173393	1	28476183	28520384
omim	ATPIF1	614981	1	28562664	28564609
omim	SESN2	607767	1	28586037	28609002
omim	MED18	612384	1	28655565	28662475
omim	PHACTR4	608726	1	28696254	28823668
omim	RCC1	179710	1	28832454	28865708
omim	SNHG3	603238	1	28832862	28836145
omim	SNORA73A	180645	1	28833877	28834083
omim	SNORA73B	603239	1	28835070	28835274
omim	TAF12	600773	1	28915834	28944542
omim	GMEB1	604409	1	29010075	29041577
omim	YTHDF2	610640	1	29063132	29096286
omim	OPRD1	165195	1	29138653	29190208
omim	EPB41	130500	1	29213635	29443626
omim	SRSF4	601940	1	29474656	29508410
omim	MECR	608205	1	29529653	29557418
omim	PTPRU	602454	1	29563060	29653325
omim	MATN1	115437	1	31188872	31192098
omim	LAPTM5	601476	1	31214535	31230604
omim	SDC3	186357	1	31342313	31351587
omim	PUM1	607204	1	31405690	31538531
omim	NKAIN1	612871	1	31652592	31661000
omim	SNRNP40	607797	1	31732520	31755330
omim	FABP3	134651	1	31838559	31842437
omim	SERINC2	614549	1	31882411	31907524
omim	HCRTR1	602392	1	32083286	32093214
omim	PEF1	610033	1	32095462	32110488
omim	COL16A1	120326	1	32117847	32169768
omim	BAI2	602683	1	32192718	32229648
omim	PTP4A2	601584	1	32374308	32384724
omim	KHDRBS1	602489	1	32479429	32509483
omim	KPNA6	610563	1	32573888	32636980
omim	TXLNA	608676	1	32645665	32663886
omim	CCDC28B	610162	1	32666233	32670988
omim	EIF3I	603911	1	32688037	32694415
omim	LCK	153390	1	32739930	32751317
omim	HDAC1	601241	1	32757992	32798986
omim	MARCKSL1	602940	1	32799432	32801980
omim	TSSK3	607660	1	32827797	32829913
omim	RBBP4	602923	1	33116834	33146258
omim	SYNC	611750	1	33145506	33168361
omim	YARS	603623	1	33240839	33247704
omim	S100PBP	611889	1	33283155	33324476
omim	FNDC5	611906	1	33327868	33330318
omim	HPCA	142622	1	33351682	33359230
omim	RNF19B	610872	1	33402268	33430286
omim	AK2	103020	1	33473584	33502471
omim	ADC	608353	1	33546767	33586130
omim	PHC2	602979	1	33789223	33841194
omim	ZSCAN20	611315	1	33938245	33962107
