database	name	name2	chr	chromStart	chromEnd
CpGisland	CpG116	filler	1	28735	29810
CpGisland	CpG30	filler	1	135124	135563
CpGisland	CpG29	filler	1	327790	328229
CpGisland	CpG84	filler	1	437151	438164
CpGisland	CpG99	filler	1	449273	450544
CpGisland	CpG94	filler	1	533219	534114
CpGisland	CpG171	filler	1	544738	546649
CpGisland	CpG60	filler	1	713984	714547
CpGisland	CpG115	filler	1	762416	763445
CpGisland	CpG28	filler	1	788863	789211
CpGisland	CpG24	filler	1	801975	802338
CpGisland	CpG50	filler	1	805198	805628
CpGisland	CpG83	filler	1	839694	840619
CpGisland	CpG153	filler	1	844299	845883
CpGisland	CpG16	filler	1	854765	854973
CpGisland	CpG257	filler	1	858970	861632
CpGisland	CpG178	filler	1	869332	871872
CpGisland	CpG246	filler	1	875730	878363
CpGisland	CpG18	filler	1	886356	886602
CpGisland	CpG615	filler	1	894313	902654
CpGisland	CpG23	filler	1	906296	906538
CpGisland	CpG28	filler	1	912869	913153
CpGisland	CpG15	filler	1	919726	919927
CpGisland	CpG413	filler	1	933387	937410
CpGisland	CpG19	filler	1	948670	948894
CpGisland	CpG35	filler	1	949329	949851
CpGisland	CpG148	filler	1	954768	956343
CpGisland	CpG54	filler	1	963795	964507
CpGisland	CpG185	filler	1	967966	970238
CpGisland	CpG351	filler	1	975496	980305
CpGisland	CpG26	filler	1	981068	981400
CpGisland	CpG26	filler	1	982152	982511
CpGisland	CpG32	filler	1	983174	983612
CpGisland	CpG19	filler	1	984206	984429
CpGisland	CpG29	filler	1	990274	990694
CpGisland	CpG98	filler	1	994436	995303
CpGisland	CpG20	filler	1	999678	999911
CpGisland	CpG213	filler	1	1002663	1005318
CpGisland	CpG122	filler	1	1011509	1013402
CpGisland	CpG41	filler	1	1016863	1017439
CpGisland	CpG30	filler	1	1018099	1018390
CpGisland	CpG15	filler	1	1019818	1020026
CpGisland	CpG19	filler	1	1023143	1023347
CpGisland	CpG44	filler	1	1024075	1024614
CpGisland	CpG20	filler	1	1026377	1026625
CpGisland	CpG18	filler	1	1027509	1027730
CpGisland	CpG25	filler	1	1046044	1046340
CpGisland	CpG31	filler	1	1050515	1050830
CpGisland	CpG151	filler	1	1051178	1052445
CpGisland	CpG52	filler	1	1072369	1072847
CpGisland	CpG25	filler	1	1093211	1093476
CpGisland	CpG183	filler	1	1098043	1100584
CpGisland	CpG59	filler	1	1109314	1110145
CpGisland	CpG32	filler	1	1115574	1116006
CpGisland	CpG40	filler	1	1132827	1133218
CpGisland	CpG105	filler	1	1136360	1137156
CpGisland	CpG55	filler	1	1141670	1142150
CpGisland	CpG25	filler	1	1145568	1145878
CpGisland	CpG16	filler	1	1146708	1146914
CpGisland	CpG38	filler	1	1149055	1149524
CpGisland	CpG71	filler	1	1152522	1153134
CpGisland	CpG44	filler	1	1153784	1154419
CpGisland	CpG27	filler	1	1159168	1159528
CpGisland	CpG24	filler	1	1161959	1162281
CpGisland	CpG34	filler	1	1163502	1163895
CpGisland	CpG240	filler	1	1167001	1168985
CpGisland	CpG27	filler	1	1173915	1174263
CpGisland	CpG26	filler	1	1177885	1178207
CpGisland	CpG81	filler	1	1181756	1182470
CpGisland	CpG68	filler	1	1189396	1190245
CpGisland	CpG25	filler	1	1190522	1190799
CpGisland	CpG31	filler	1	1203166	1203597
CpGisland	CpG155	filler	1	1208515	1209942
CpGisland	CpG130	filler	1	1228780	1230163
CpGisland	CpG281	filler	1	1242400	1245185
CpGisland	CpG41	filler	1	1247918	1248493
CpGisland	CpG18	filler	1	1254322	1254548
CpGisland	CpG114	filler	1	1259643	1260635
CpGisland	CpG66	filler	1	1262665	1263420
CpGisland	CpG20	filler	1	1265206	1265429
CpGisland	CpG16	filler	1	1267085	1267286
CpGisland	CpG116	filler	1	1267435	1268986
CpGisland	CpG51	filler	1	1271425	1272074
CpGisland	CpG20	filler	1	1272377	1272634
CpGisland	CpG160	filler	1	1283933	1285345
CpGisland	CpG152	filler	1	1289707	1291126
CpGisland	CpG167	filler	1	1309140	1311039
CpGisland	CpG25	filler	1	1322644	1322924
CpGisland	CpG154	filler	1	1334071	1335602
CpGisland	CpG98	filler	1	1342004	1342952
CpGisland	CpG108	filler	1	1355159	1356000
CpGisland	CpG20	filler	1	1361560	1361787
CpGisland	CpG50	filler	1	1362954	1363299
CpGisland	CpG83	filler	1	1370767	1371449
CpGisland	CpG122	filler	1	1374461	1375584
CpGisland	CpG27	filler	1	1389555	1389889
CpGisland	CpG19	filler	1	1396085	1396338
CpGisland	CpG119	filler	1	1406844	1407821
CpGisland	CpG40	filler	1	1414034	1414532
CpGisland	CpG42	filler	1	1417285	1417753
CpGisland	CpG34	filler	1	1420226	1420684
CpGisland	CpG19	filler	1	1444588	1444849
CpGisland	CpG151	filler	1	1446878	1448205
CpGisland	CpG40	filler	1	1452701	1453199
CpGisland	CpG48	filler	1	1455302	1455892
CpGisland	CpG18	filler	1	1456829	1457074
CpGisland	CpG77	filler	1	1457954	1459029
CpGisland	CpG23	filler	1	1464508	1464806
CpGisland	CpG73	filler	1	1470604	1471450
CpGisland	CpG21	filler	1	1473107	1473342
CpGisland	CpG32	filler	1	1474962	1475220
CpGisland	CpG55	filler	1	1476093	1476669
CpGisland	CpG25	filler	1	1489532	1489794
CpGisland	CpG16	filler	1	1496761	1496986
CpGisland	CpG159	filler	1	1509482	1510747
CpGisland	CpG160	filler	1	1534331	1536136
CpGisland	CpG180	filler	1	1550453	1552015
CpGisland	CpG73	filler	1	1558587	1559359
CpGisland	CpG27	filler	1	1560780	1561055
CpGisland	CpG30	filler	1	1562049	1562398
CpGisland	CpG33	filler	1	1563674	1564032
CpGisland	CpG470	filler	1	1564421	1570006
CpGisland	CpG31	filler	1	1571032	1571470
CpGisland	CpG25	filler	1	1580377	1580595
CpGisland	CpG83	filler	1	1590073	1590942
CpGisland	CpG21	filler	1	1600981	1601231
CpGisland	CpG21	filler	1	1602391	1602686
CpGisland	CpG27	filler	1	1607898	1608243
CpGisland	CpG149	filler	1	1623610	1625067
CpGisland	CpG173	filler	1	1631086	1633226
CpGisland	CpG31	filler	1	1634252	1634690
CpGisland	CpG25	filler	1	1643593	1643811
CpGisland	CpG84	filler	1	1655395	1656231
CpGisland	CpG27	filler	1	1670756	1671101
CpGisland	CpG146	filler	1	1676885	1678333
CpGisland	CpG48	filler	1	1685373	1685971
CpGisland	CpG22	filler	1	1691767	1692063
CpGisland	CpG126	filler	1	1709394	1710582
CpGisland	CpG45	filler	1	1713639	1714141
CpGisland	CpG187	filler	1	1821405	1823272
CpGisland	CpG78	filler	1	1839958	1840601
CpGisland	CpG120	filler	1	1850098	1851391
CpGisland	CpG22	filler	1	1859246	1859523
CpGisland	CpG25	filler	1	1874715	1875015
CpGisland	CpG23	filler	1	1875617	1875877
CpGisland	CpG46	filler	1	1886344	1886870
CpGisland	CpG18	filler	1	1896414	1896628
CpGisland	CpG17	filler	1	1897581	1897786
CpGisland	CpG271	filler	1	1910268	1913800
CpGisland	CpG32	filler	1	1935166	1935452
CpGisland	CpG117	filler	1	1950411	1951479
CpGisland	CpG35	filler	1	1957046	1957386
CpGisland	CpG44	filler	1	1959414	1959867
CpGisland	CpG15	filler	1	1960942	1961148
CpGisland	CpG38	filler	1	1961407	1961850
CpGisland	CpG22	filler	1	1974686	1974942
CpGisland	CpG58	filler	1	1976123	1976628
CpGisland	CpG195	filler	1	1981251	1983212
CpGisland	CpG29	filler	1	1990779	1991171
CpGisland	CpG36	filler	1	2005179	2005565
CpGisland	CpG82	filler	1	2025205	2026225
CpGisland	CpG21	filler	1	2038555	2038863
CpGisland	CpG23	filler	1	2040997	2041302
CpGisland	CpG32	filler	1	2046429	2046865
CpGisland	CpG20	filler	1	2063782	2064052
CpGisland	CpG26	filler	1	2064628	2064855
CpGisland	CpG22	filler	1	2066367	2066666
CpGisland	CpG17	filler	1	2082314	2082529
CpGisland	CpG34	filler	1	2116432	2116801
CpGisland	CpG55	filler	1	2121017	2121818
CpGisland	CpG46	filler	1	2126048	2126642
CpGisland	CpG70	filler	1	2136808	2137351
CpGisland	CpG24	filler	1	2144199	2144497
CpGisland	CpG238	filler	1	2158212	2161173
CpGisland	CpG179	filler	1	2212020	2213881
CpGisland	CpG26	filler	1	2222198	2222569
CpGisland	CpG23	filler	1	2232310	2232617
CpGisland	CpG30	filler	1	2235308	2235667
CpGisland	CpG206	filler	1	2236442	2239069
CpGisland	CpG135	filler	1	2245714	2247086
CpGisland	CpG27	filler	1	2249315	2249634
CpGisland	CpG75	filler	1	2253723	2254758
CpGisland	CpG23	filler	1	2258097	2258423
CpGisland	CpG24	filler	1	2259064	2259326
