database	gene_symbol	cnv_score	chr	start	end
exac_v3	LOXL4	0.339117351	10	100007447	100028007
exac_v3	PYROXD2	1.104568676	10	100143322	100174941
exac_v3	HPS1	1.533226621	10	100175955	100206684
exac_v3	HPSE2	1.246747775	10	100218875	100995619
exac_v3	CNNM1	0.220174291	10	101088856	101154087
exac_v3	GOT1	1.097472586	10	101156627	101190381
exac_v3	NKX2-3	0.380580429	10	101292690	101296278
exac_v3	SLC25A28	0.822525965	10	101370282	101380366
exac_v3	ENTPD7	0.386049964	10	101419263	101465997
exac_v3	CUTC	-1.06596228	10	101462315	101515891
exac_v3	COX15	0.952975188	10	101471601	101491857
exac_v3	DNMBP	0.683195808	10	101635334	101769676
exac_v3	CPN1	0.670695109	10	101801950	101841634
exac_v3	ERLIN1	-0.317511184	10	101909851	101948091
exac_v3	CHUK	1.370743556	10	101948055	101989376
exac_v3	CWF19L1	1.076634698	10	101992055	102027437
exac_v3	BLOC1S2	0.390113414	10	102033713	102046469
exac_v3	PKD2L1	-0.425640592	10	102047903	102090243
exac_v3	SCD	0.965554234	10	102106881	102124591
exac_v3	WNT8B	0.56970708	10	102222798	102243501
exac_v3	SEC31B	0.828702256	10	102246399	102289628
exac_v3	NDUFB8	0.392793167	10	102265385	102289638
exac_v3	NDUFB8	0.231965368	10	102267203	102289757
exac_v3	HIF1AN	0.175248937	10	102288829	102319755
exac_v3	PAX2	1.291858599	10	102495360	102589698
exac_v3	FAM178A	1.277444344	10	102672326	102724893
exac_v3	MRPL43	0.619772511	10	102729215	102747272
exac_v3	SEMA4G	0.975374368	10	102729275	102745628
exac_v3	C10orf2	1.147619465	10	102747124	102754158
exac_v3	LZTS2	0.393006263	10	102756375	102767593
exac_v3	SFXN3	-0.064946378	10	102790991	102800998
exac_v3	KAZALD1	0.348854598	10	102821598	102827888
exac_v3	TLX1	0.592253156	10	102889257	102897545
exac_v3	LBX1	0.281994957	10	102986733	102989551
exac_v3	BTRC	-2.471627899	10	103113820	103317078
exac_v3	DPCD	-1.942424173	10	103330317	103369425
exac_v3	POLL	-2.131994987	10	103338639	103348027
exac_v3	FBXW4	-1.383777638	10	103370423	103455052
exac_v3	GTPBP4	-0.49654518	10	1034338	1065876
exac_v3	FGF8	-0.132195801	10	103529899	103535854
exac_v3	NPM3	-0.023794507	10	103541082	103543170
exac_v3	MGEA5	0.798088335	10	103544200	103578696
exac_v3	KCNIP2	0.246412913	10	103585731	103603677
exac_v3	C10orf76	1.217421981	10	103605356	103815950
exac_v3	HPS6	0.152605018	10	103825147	103827792
exac_v3	LDB1	0.386019572	10	103867317	103880210
exac_v3	PPRC1	0.800849174	10	103892787	103910082
exac_v3	NOLC1	0.812718971	10	103911933	103923627
exac_v3	ELOVL3	1.108393643	10	103986085	103989346
exac_v3	GBF1	0.239712034	10	104005289	104142656
exac_v3	NFKB2	0.621169593	10	104153867	104162281
exac_v3	PSD	0.952818858	10	104162376	104181296
exac_v3	CUEDC2	1.453475967	10	104183002	104192418
exac_v3	TMEM180	0.562701572	10	104221149	104236802
exac_v3	ACTR1A	1.038088693	10	104238986	104262482
exac_v3	SUFU	0.155386764	10	104263744	104393292
exac_v3	ARL3	0.462969686	10	104433488	104474164
exac_v3	SFXN2	-1.410596213	10	104474295	104503249
exac_v3	WBP1L	0.554609767	10	104503727	104576021
exac_v3	CYP17A1	0.533455085	10	104590288	104597290
exac_v3	C10orf32	0.87671799	10	104613980	104624718
exac_v3	C10orf32-ASMT	0.606899019	10	104614029	104661656
exac_v3	AS3MT	0.568375038	10	104629273	104661656
exac_v3	CNNM2	1.088574998	10	104678050	104849978
exac_v3	NT5C2	1.531340287	10	104845940	104953056
exac_v3	RP11-332O19.5	1.107329116	10	105005644	105007773
exac_v3	INA	0.204177704	10	105036920	105050108
exac_v3	PCGF6	0.883207354	10	105062553	105110891
exac_v3	TAF5	0.763001898	10	105127724	105148822
exac_v3	USMG5	-1.952630562	10	105148798	105156223
exac_v3	PDCD11	-1.092033605	10	105156405	105206049
exac_v3	CALHM2	-2.13453132	10	105206543	105212660
exac_v3	CALHM1	-1.337941432	10	105213144	105218645
exac_v3	NEURL	-0.453408369	10	105253736	105352309
exac_v3	SH3PXD2A	-0.156065097	10	105348285	105615301
exac_v3	OBFC1	-0.176481157	10	105642300	105677963
