database_from	Gene_name	Transcript_id	Chr	Start	Stop
CHD_Genes	NRAS	ENST00000369535.4	1	115247089	115259515
CHD_Genes	CSDE1	ENST00000339438.6	1	115259533	115300604
CHD_Genes	CSDE1	ENST00000438362.2	1	115259536	115292811
CHD_Genes	CSDE1	ENST00000358528.4	1	115259537	115300585
CHD_Genes	CSDE1	ENST00000261443.5	1	115259915	115300595
CHD_Genes	CSDE1	ENST00000530886.1	1	115259925	115300648
CHD_Genes	CSDE1	ENST00000369530.1	1	115259932	115300624
CHD_Genes	CSDE1	ENST00000483407.1	1	115260422	115261559
CHD_Genes	CSDE1	ENST00000534699.1	1	115260577	115300603
CHD_Genes	NOTCH2	ENST00000256646.2	1	120454175	120612240
CHD_Genes	NOTCH2	ENST00000479412.1	1	120493021	120510855
CHD_Genes	NOTCH2	ENST00000539617.1	1	120493030	120594328
CHD_Genes	NOTCH2	ENST00000401649.3	1	120534084	120594328
CHD_Genes	NOTCH2	ENST00000369342.4	1	120535404	120596839
CHD_Genes	NOTCH2	ENST00000538680.1	1	120611396	120612075
CHD_Genes	PRKAB2	ENST00000254101.3	1	146626684	146644123
CHD_Genes	PRKAB2	ENST00000496858.1	1	146630797	146634089
CHD_Genes	PRKAB2	ENST00000425272.2	1	146631068	146644046
CHD_Genes	FMO5	ENST00000441068.2	1	146655883	146696945
CHD_Genes	FMO5	ENST00000254090.4	1	146657837	146697230
CHD_Genes	FMO5	ENST00000369272.3	1	146657839	146696901
CHD_Genes	FMO5	ENST00000465173.1	1	146679998	146697220
CHD_Genes	CHD1L	ENST00000431239.1	1	146714290	146767441
CHD_Genes	CHD1L	ENST00000369259.3	1	146714290	146767441
CHD_Genes	CHD1L	ENST00000369258.4	1	146714333	146767443
CHD_Genes	CHD1L	ENST00000467213.1	1	146714333	146767443
CHD_Genes	CHD1L	ENST00000436230.2	1	146714350	146767441
CHD_Genes	CHD1L	ENST00000361293.5	1	146714355	146767441
CHD_Genes	CHD1L	ENST00000254086.6	1	146714368	146742671
CHD_Genes	BCL9	ENST00000234739.3	1	147013181	147098017
CHD_Genes	BCL9	ENST00000473292.1	1	147083411	147087702
CHD_Genes	ACP6	ENST00000460583.1	1	147119169	147122485
CHD_Genes	ACP6	ENST00000369238.5	1	147119171	147142618
CHD_Genes	ACP6	ENST00000392988.2	1	147124414	147142364
CHD_Genes	GJA5	ENST00000271348.2	1	147228331	147245484
CHD_Genes	GJA5	ENST00000369237.1	1	147229305	147232685
CHD_Genes	LBR	ENST00000272163.4	1	225589203	225615737
CHD_Genes	LBR	ENST00000338179.2	1	225589204	225616519
CHD_Genes	LBR	ENST00000487054.1	1	225605251	225607064
CHD_Genes	LEFTY1	ENST00000272134.5	1	226073981	226076846
CHD_Genes	LEFTY1	ENST00000492457.1	1	226075484	226099082
CHD_Genes	LEFTY2	ENST00000420304.2	1	226124297	226129083
CHD_Genes	LEFTY2	ENST00000366820.5	1	226124303	226129189
CHD_Genes	LEFTY2	ENST00000474493.1	1	226127131	226127801
CHD_Genes	ASXL2	ENST00000435504.3	2	25960556	26101385
CHD_Genes	ASXL2	ENST00000336112.4	2	25960560	26101335
CHD_Genes	ASXL2	ENST00000404843.1	2	25964793	26003178
CHD_Genes	ASXL2	ENST00000272341.4	2	25964897	26101335
CHD_Genes	ASXL2	ENST00000497092.1	2	25991630	26053760
CHD_Genes	KIF3C	ENST00000264712.3	2	26149470	26205366
CHD_Genes	KIF3C	ENST00000542511.1	2	26151605	26205353
CHD_Genes	KIF3C	ENST00000405914.1	2	26151621	26205618
CHD_Genes	KIF3C	ENST00000496378.1	2	26152287	26174788
CHD_Genes	RAB10	ENST00000264710.4	2	26256978	26360323
CHD_Genes	RAB10	ENST00000462003.1	2	26321398	26357905
CHD_Genes	SOS1	ENST00000426016.1	2	39208536	39348192
CHD_Genes	SOS1	ENST00000543698.1	2	39208693	39347604
CHD_Genes	SOS1	ENST00000402219.2	2	39208693	39347604
CHD_Genes	SOS1	ENST00000395038.2	2	39212826	39347591
CHD_Genes	SOS1	ENST00000263879.4	2	39222292	39347604
CHD_Genes	SOS1	ENST00000472480.1	2	39250016	39250964
CHD_Genes	SOS1	ENST00000428721.2	2	39250286	39351486
CHD_Genes	CFC1	ENST00000259216.4	2	131350338	131357123
CHD_Genes	CRELD1	ENST00000397170.3	3	9975505	9986678
CHD_Genes	CRELD1	ENST00000383811.3	3	9975523	9987097
CHD_Genes	CRELD1	ENST00000452070.1	3	9975528	9986683
CHD_Genes	CRELD1	ENST00000326434.5	3	9975539	9986716
CHD_Genes	CRELD1	ENST00000489674.1	3	9982807	9986107
CHD_Genes	RAF1	ENST00000251849.4	3	12625099	12705725
CHD_Genes	RAF1	ENST00000442415.2	3	12625296	12705647
CHD_Genes	RAF1	ENST00000534997.1	3	12625765	12650745
CHD_Genes	RAF1	ENST00000542177.1	3	12625831	12705616
CHD_Genes	TMEM40	ENST00000314124.7	3	12775023	12801038
CHD_Genes	TMEM40	ENST00000435575.1	3	12775056	12800776
CHD_Genes	TMEM40	ENST00000435218.2	3	12775414	12800758
CHD_Genes	TMEM40	ENST00000476331.1	3	12776135	12782855
CHD_Genes	TMEM40	ENST00000264728.8	3	12776205	12810956
CHD_Genes	TMEM40	ENST00000431022.2	3	12776205	12810951
CHD_Genes	TGFBR2	ENST00000295754.5	3	30647993	30735626
CHD_Genes	TGFBR2	ENST00000359013.4	3	30648092	30735634
CHD_Genes	TGFBR2	ENST00000383765.3	3	30648092	30733306
CHD_Genes	TGFBR2	ENST00000439925.2	3	30656055	30733384
CHD_Genes	ACVR2B	ENST00000352511.3	3	38495341	38524948
CHD_Genes	TDGF1	ENST00000542931.1	3	46616044	46623950
CHD_Genes	TDGF1	ENST00000296145.5	3	46618726	46623953
CHD_Genes	TDGF1	ENST00000444264.1	3	46653924	46668033
CHD_Genes	NPHP3	ENST00000393144.2	3	132360841	132431295
CHD_Genes	NPHP3	ENST00000393156.2	3	132363682	132441276
CHD_Genes	NPHP3	ENST00000326682.8	3	132399453	132441276
CHD_Genes	NPHP3	ENST00000337331.5	3	132400471	132441286
CHD_Genes	NPHP3	ENST00000476742.1	3	132424517	132435657
CHD_Genes	NPHP3	ENST00000343113.4	3	132436911	132441276
CHD_Genes	NPHP3	ENST00000383282.2	3	132440558	132441232
CHD_Genes	FOXL2	ENST00000330315.3	3	138663065	138665982
CHD_Genes	FOXL2	ENST00000542203.1	3	138663067	138665801
CHD_Genes	WHSC1	ENST00000508803.1	4	1873150	1980641
CHD_Genes	WHSC1	ENST00000514045.1	4	1873187	1943477
CHD_Genes	WHSC1	ENST00000382892.2	4	1894508	1983930
CHD_Genes	WHSC1	ENST00000436793.1	4	1894508	1913879
CHD_Genes	WHSC1	ENST00000382891.5	4	1894508	1983933
CHD_Genes	WHSC1	ENST00000382895.3	4	1894571	1983934
CHD_Genes	WHSC1	ENST00000420906.2	4	1894571	1944302
CHD_Genes	WHSC1	ENST00000503128.1	4	1900944	1950545
CHD_Genes	WHSC1	ENST00000398261.1	4	1902352	1950545
CHD_Genes	WHSC1	ENST00000482415.2	4	1941007	1981523
CHD_Genes	WHSC1	ENST00000382888.3	4	1953831	1980642
CHD_Genes	EVC2	ENST00000344938.1	4	5544857	5710294
CHD_Genes	EVC2	ENST00000344408.5	4	5564165	5710294
CHD_Genes	EVC2	ENST00000310917.2	4	5564165	5711275
CHD_Genes	EVC	ENST00000264956.6	4	5712923	5816032
CHD_Genes	EVC	ENST00000382674.2	4	5712923	5830772
CHD_Genes	EVC	ENST00000509451.1	4	5712941	5760038
CHD_Genes	EVC	ENST00000515113.1	4	5795334	5803534
CHD_Genes	PDGFRA	ENST00000257290.5	4	55095263	55164414
CHD_Genes	PDGFRA	ENST00000508170.1	4	55095446	55131520
CHD_Genes	PPM1K	ENST00000295908.6	4	89183314	89205888
CHD_Genes	PPM1K	ENST00000513546.2	4	89189341	89205730
CHD_Genes	PPM1K	ENST00000506423.1	4	89189913	89205713
CHD_Genes	PPM1K	ENST00000315194.4	4	89192180	89205888
