Database_From	name	type	chr	chromStart	chromEnd
wgRNA	hsa-mir-1302-2	miRNA	1	30365	30503
wgRNA	hsa-mir-200b	miRNA	1	1102483	1102578
wgRNA	hsa-mir-200a	miRNA	1	1103242	1103332
wgRNA	hsa-mir-429	miRNA	1	1104384	1104467
wgRNA	hsa-mir-4251	miRNA	1	3044538	3044599
wgRNA	hsa-mir-551a	miRNA	1	3477258	3477354
wgRNA	hsa-mir-4252	miRNA	1	6489893	6489956
wgRNA	hsa-mir-34a	miRNA	1	9211726	9211836
wgRNA	hsa-mir-1273d	miRNA	1	10287775	10287861
wgRNA	ACA59	HAcaBox	1	12567299	12567451
wgRNA	hsa-mir-1290	miRNA	1	19223564	19223642
wgRNA	hsa-mir-1256	miRNA	1	21314806	21314925
wgRNA	hsa-mir-4253	miRNA	1	23189651	23189719
wgRNA	hsa-mir-3115	miRNA	1	23370797	23370865
wgRNA	hsa-mir-1976	miRNA	1	26881032	26881084
wgRNA	ACA35	scaRna	1	28160911	28161077
wgRNA	U17a	HAcaBox	1	28833876	28834083
wgRNA	U17b	HAcaBox	1	28835069	28835274
wgRNA	HBII-420	CDBox	1	28905254	28905334
wgRNA	ACA61	HAcaBox	1	28906275	28906405
wgRNA	ACA44	HAcaBox	1	28906892	28907024
wgRNA	ACA16	HAcaBox	1	28907431	28907565
wgRNA	U103	CDBox	1	31408532	31408623
wgRNA	U103B	CDBox	1	31421961	31422052
wgRNA	HBII-251	CDBox	1	31441009	31441084
wgRNA	hsa-mir-4254	miRNA	1	32224260	32224336
wgRNA	hsa-mir-552	miRNA	1	35135199	35135295
wgRNA	hsa-mir-4255	miRNA	1	37627163	37627235
wgRNA	ACA55	HAcaBox	1	40033045	40033182
wgRNA	hsa-mir-30e	miRNA	1	41220026	41220118
wgRNA	hsa-mir-30c-1	miRNA	1	41222955	41223044
wgRNA	U55	CDBox	1	45241536	45241610
wgRNA	U46	CDBox	1	45242163	45242261
wgRNA	U38A	CDBox	1	45243513	45243584
wgRNA	U38B	CDBox	1	45244061	45244130
wgRNA	hsa-mir-761	miRNA	1	52302015	52302074
wgRNA	hsa-mir-3116-1	miRNA	1	62544457	62544531
wgRNA	hsa-mir-3116-2	miRNA	1	62544460	62544528
wgRNA	hsa-mir-101-1	miRNA	1	65524116	65524191
wgRNA	hsa-mir-3117	miRNA	1	67094122	67094200
wgRNA	hsa-mir-1262	miRNA	1	68649200	68649293
wgRNA	hsa-mir-186	miRNA	1	71533313	71533399
wgRNA	U45C	CDBox	1	76252756	76252834
wgRNA	U45A	CDBox	1	76253573	76253656
wgRNA	U45B	CDBox	1	76255161	76255232
wgRNA	U21	CDBox	1	93302845	93302940
wgRNA	U66	HAcaBox	1	93306275	93306408
wgRNA	hsa-mir-760	miRNA	1	94312387	94312467
wgRNA	hsa-mir-137	miRNA	1	98511625	98511727
wgRNA	hsa-mir-553	miRNA	1	100746796	100746864
wgRNA	mgU2-25/61	scaRna	1	109642814	109643234
wgRNA	HBII-382	scaRna	1	109643154	109643236
wgRNA	hsa-mir-197	miRNA	1	110141514	110141589
wgRNA	hsa-mir-4256	miRNA	1	113004391	113004455
wgRNA	hsa-mir-320b-1	miRNA	1	117214370	117214449
wgRNA	hsa-mir-942	miRNA	1	117637264	117637350
wgRNA	hsa-mir-3118-1	miRNA	1	142667288	142667363
wgRNA	hsa-mir-3118-2	miRNA	1	143163749	143163822
wgRNA	hsa-mir-3118-3	miRNA	1	143424140	143424215
wgRNA	hsa-mir-4257	miRNA	1	150524404	150524490
wgRNA	hsa-mir-554	miRNA	1	151518271	151518367
wgRNA	hsa-mir-190b	miRNA	1	154166140	154166219
wgRNA	hsa-mir-4258	miRNA	1	154948168	154948259
wgRNA	hsa-mir-92b	miRNA	1	155164967	155165063
wgRNA	hsa-mir-555	miRNA	1	155316140	155316236
wgRNA	ACA42	HAcaBox	1	155889699	155889833
wgRNA	ACA26	scaRna	1	155895748	155895877
wgRNA	hsa-mir-9-1	miRNA	1	156390132	156390221
wgRNA	hsa-mir-765	miRNA	1	156905922	156906036
wgRNA	hsa-mir-4259	miRNA	1	159869768	159869869
wgRNA	hsa-mir-556	miRNA	1	162312335	162312430
wgRNA	hsa-mir-921	miRNA	1	166123979	166124035
wgRNA	hsa-mir-1255b-2	miRNA	1	167967897	167967964
wgRNA	hsa-mir-557	miRNA	1	168344761	168344859
wgRNA	hsa-mir-3119-1	miRNA	1	170120518	170120603
wgRNA	hsa-mir-3119-2	miRNA	1	170120518	170120603
wgRNA	hsa-mir-1295	miRNA	1	171070868	171070947
wgRNA	hsa-mir-214	miRNA	1	172107937	172108047
wgRNA	hsa-mir-3120	miRNA	1	172107947	172108028
wgRNA	hsa-mir-199a-2	miRNA	1	172113674	172113784
wgRNA	U81	CDBox	1	173833283	173833360
wgRNA	U47	CDBox	1	173833507	173833572
wgRNA	U80	CDBox	1	173833966	173834044
wgRNA	U79	CDBox	1	173834485	173834570
wgRNA	U78	CDBox	1	173834759	173834824
wgRNA	U44	CDBox	1	173835103	173835166
wgRNA	U77	CDBox	1	173835438	173835508
wgRNA	U76	CDBox	1	173835772	173835852
wgRNA	U75	CDBox	1	173836016	173836076
wgRNA	U74	CDBox	1	173836811	173836883
wgRNA	HBI-100	HAcaBox	1	175937532	175937676
wgRNA	hsa-mir-488	miRNA	1	176998498	176998581
wgRNA	hsa-mir-3121	miRNA	1	180407448	180407525
wgRNA	hsa-mir-1278	miRNA	1	193105632	193105713
wgRNA	hsa-mir-181b-1	miRNA	1	198828001	198828111
wgRNA	hsa-mir-181a-1	miRNA	1	198828172	198828282
wgRNA	hsa-mir-1231	miRNA	1	201777738	201777830
wgRNA	ACA63	HAcaBox	1	203698708	203698833
wgRNA	hsa-mir-135b	miRNA	1	205417429	205417526
wgRNA	hsa-mir-29c	miRNA	1	207975196	207975284
wgRNA	hsa-mir-29b-2	miRNA	1	207975787	207975868
wgRNA	hsa-mir-205	miRNA	1	209605477	209605587
wgRNA	hsa-mir-4260	miRNA	1	209796788	209796855
wgRNA	hsa-mir-3122	miRNA	1	212250954	212251027
wgRNA	U98b	HAcaBox	1	212526159	212526292
wgRNA	hsa-mir-215	miRNA	1	220291194	220291304
wgRNA	hsa-mir-194-1	miRNA	1	220291498	220291583
wgRNA	hsa-mir-664	miRNA	1	220373879	220373961
wgRNA	ACA36B	HAcaBox	1	220373887	220374018
wgRNA	hsa-mir-320b-2	miRNA	1	224444705	224444843
wgRNA	hsa-mir-1182	miRNA	1	231155573	231155670
wgRNA	ACA14b	HAcaBox	1	235291117	235291252
wgRNA	hsa-mir-1537	miRNA	1	236016299	236016360
wgRNA	hsa-mir-3123	miRNA	1	241295571	241295646
wgRNA	hsa-mir-3124	miRNA	1	249120575	249120642
wgRNA	hsa-mir-4261	miRNA	2	10332739	10332797
wgRNA	ACA67B	HAcaBox	2	10586839	10586975
wgRNA	hsa-mir-548s	miRNA	2	11907569	11907651
wgRNA	hsa-mir-4262	miRNA	2	11977058	11977112
wgRNA	hsa-mir-3125	miRNA	2	12877492	12877570
wgRNA	hsa-mir-1301	miRNA	2	25551508	25551590
wgRNA	hsa-mir-4263	miRNA	2	28219233	28219316
wgRNA	HBII-316	CDBox	2	29136527	29136616
wgRNA	U53	CDBox	2	29149932	29150010
wgRNA	hsa-mir-558	miRNA	2	32757219	32757313
wgRNA	hsa-mir-559	miRNA	2	47604813	47604909
wgRNA	hsa-mir-217	miRNA	2	56210101	56210211
wgRNA	hsa-mir-216a	miRNA	2	56216084	56216194
wgRNA	hsa-mir-216b	miRNA	2	56227848	56227930
wgRNA	U70B	HAcaBox	2	61644378	61644512
wgRNA	hsa-mir-3126	miRNA	2	69330813	69330887
wgRNA	SNORA36C	HAcaBox	2	69747174	69747303
wgRNA	hsa-mir-1285-2	miRNA	2	70480049	70480137
wgRNA	hsa-mir-4264	miRNA	2	79876419	79876485
wgRNA	U94	CDBox	2	86362992	86363129
wgRNA	hsa-mir-3127	miRNA	2	97464014	97464090
wgRNA	HBII-289	CDBox	2	101889397	101889511
wgRNA	hsa-mir-4265	miRNA	2	109757945	109758044
wgRNA	hsa-mir-4266	miRNA	2	109930026	109930081
wgRNA	hsa-mir-4267	miRNA	2	110827537	110827619
wgRNA	hsa-mir-1302-3	miRNA	2	114340535	114340673
wgRNA	hsa-mir-663b	miRNA	2	133014538	133014653
wgRNA	hsa-mir-128-1	miRNA	2	136422966	136423048
wgRNA	U70F	HAcaBox	2	165544152	165544287
wgRNA	hsa-mir-933	miRNA	2	176032360	176032437
