Database_from	ID	Chromosome	Start_Coordinate	Stop_Coordinate
PseudoGene	PGOHUM00000243860	1	164688	164792
PseudoGene	PGOHUM00000243861	1	173771	173872
PseudoGene	PGOHUM00000243863	1	267141	267251
PseudoGene	PGOHUM00000243866	1	379072	379468
PseudoGene	PGOHUM00000243867	1	470922	471162
PseudoGene	PGOHUM00000243871	1	662774	675339
PseudoGene	PGOHUM00000243872	1	700524	700628
PseudoGene	PGOHUM00000243873	1	709569	709670
PseudoGene	PGOHUM00000243874	1	741158	741280
PseudoGene	PGOHUM00000243875	1	812123	812649
PseudoGene	PGOHUM00000243876	1	943457	943609
PseudoGene	PGOHUM00000243878	1	1518890	1519289
PseudoGene	PGOHUM00000243883	1	6894403	6894660
PseudoGene	PGOHUM00000243884	1	8117608	8118017
PseudoGene	PGOHUM00000243886	1	8967462	8967701
PseudoGene	PGOHUM00000243887	1	9722346	9722686
PseudoGene	PGOHUM00000243888	1	10114501	10114840
PseudoGene	PGOHUM00000243889	1	11051465	11051854
PseudoGene	PGOHUM00000243890	1	11338671	11339333
PseudoGene	PGOHUM00000243891	1	11485312	11485886
PseudoGene	PGOHUM00000243893	1	12140308	12140604
PseudoGene	PGOHUM00000243894	1	12280852	12281166
PseudoGene	PGOHUM00000243895	1	12898323	12901210
PseudoGene	PGOHUM00000243896	1	13012918	13015755
PseudoGene	PGOHUM00000243897	1	13123249	13126086
PseudoGene	PGOHUM00000243898	1	13162648	13165443
PseudoGene	PGOHUM00000243899	1	13171872	13173131
PseudoGene	PGOHUM00000243900	1	13182994	13183872
PseudoGene	PGOHUM00000243901	1	13379149	13381237
PseudoGene	PGOHUM00000243902	1	13669325	13669465
PseudoGene	PGOHUM00000243904	1	15518324	15518946
PseudoGene	PGOHUM00000243905	1	15519246	15519389
PseudoGene	PGOHUM00000243906	1	16119333	16119461
PseudoGene	PGOHUM00000243907	1	16244193	16244403
PseudoGene	PGOHUM00000243908	1	16315638	16315895
PseudoGene	PGOHUM00000243909	1	16361676	16366194
PseudoGene	PGOHUM00000243910	1	16544601	16544800
PseudoGene	PGOHUM00000243911	1	16551832	16553713
PseudoGene	PGOHUM00000243912	1	16567711	16567893
PseudoGene	PGOHUM00000243913	1	16695648	16696025
PseudoGene	PGOHUM00000243914	1	16802311	16817802
PseudoGene	PGOHUM00000243915	1	16875147	16877725
PseudoGene	PGOHUM00000243917	1	16945464	16983736
PseudoGene	PGOHUM00000243918	1	17007488	17014020
PseudoGene	PGOHUM00000243919	1	17019131	17020514
PseudoGene	PGOHUM00000243922	1	17194858	17195363
PseudoGene	PGOHUM00000243923	1	17199828	17200200
PseudoGene	PGOHUM00000243925	1	21330039	21330428
PseudoGene	PGOHUM00000243926	1	21400067	21400259
PseudoGene	PGOHUM00000243927	1	21737955	21738483
PseudoGene	PGOHUM00000243928	1	21751116	21754451
PseudoGene	PGOHUM00000243929	1	21786158	21786575
PseudoGene	PGOHUM00000243931	1	22649342	22649824
PseudoGene	PGOHUM00000243933	1	24227964	24229200
PseudoGene	PGOHUM00000243934	1	24275508	24275873
PseudoGene	PGOHUM00000243935	1	24334767	24335009
PseudoGene	PGOHUM00000243936	1	25451550	25451945
PseudoGene	PGOHUM00000243940	1	26589532	26589889
PseudoGene	PGOHUM00000243942	1	26845848	26846741
PseudoGene	PGOHUM00000243943	1	26966871	26967105
PseudoGene	PGOHUM00000243944	1	27306690	27306827
PseudoGene	PGOHUM00000243945	1	27312391	27312831
PseudoGene	PGOHUM00000243946	1	27527327	27527964
PseudoGene	PGOHUM00000243947	1	28013323	28013903
PseudoGene	PGOHUM00000243948	1	28316647	28317005
PseudoGene	PGOHUM00000243950	1	28852828	28853740
PseudoGene	PGOHUM00000243951	1	29308793	29309122
PseudoGene	PGOHUM00000243953	1	30377715	30378204
PseudoGene	PGOHUM00000243954	1	31567837	31568031
PseudoGene	PGOHUM00000243955	1	31580994	31581471
PseudoGene	PGOHUM00000243956	1	31736330	31736530
PseudoGene	PGOHUM00000243957	1	31960438	31961820
PseudoGene	PGOHUM00000243958	1	32036767	32037212
PseudoGene	PGOHUM00000243960	1	32700003	32706475
PseudoGene	PGOHUM00000243961	1	32867713	32868716
PseudoGene	PGOHUM00000243962	1	32890074	32891357
PseudoGene	PGOHUM00000243964	1	33416898	33417080
PseudoGene	PGOHUM00000243965	1	33977607	33978343
PseudoGene	PGOHUM00000243967	1	36338871	36339642
PseudoGene	PGOHUM00000243968	1	36545921	36546935
PseudoGene	PGOHUM00000243969	1	36707513	36707755
PseudoGene	PGOHUM00000243970	1	38247888	38248557
PseudoGene	PGOHUM00000243971	1	38546251	38546585
PseudoGene	PGOHUM00000243972	1	38849519	38850094
PseudoGene	PGOHUM00000243973	1	39423950	39424597
PseudoGene	PGOHUM00000243974	1	39769969	39770220
PseudoGene	PGOHUM00000243975	1	40007327	40011522
PseudoGene	PGOHUM00000243976	1	40261514	40261669
PseudoGene	PGOHUM00000243977	1	40728347	40728673
PseudoGene	PGOHUM00000243978	1	40798751	40799230
PseudoGene	PGOHUM00000243979	1	41059305	41059995
PseudoGene	PGOHUM00000243980	1	41403774	41405432
PseudoGene	PGOHUM00000243981	1	41407922	41408185
PseudoGene	PGOHUM00000243982	1	41730223	41730534
PseudoGene	PGOHUM00000243983	1	42878072	42878465
PseudoGene	PGOHUM00000243985	1	43279037	43279451
PseudoGene	PGOHUM00000243986	1	43352267	43354396
PseudoGene	PGOHUM00000243987	1	43356768	43358016
PseudoGene	PGOHUM00000243988	1	43417922	43418249
PseudoGene	PGOHUM00000243989	1	44315973	44317405
PseudoGene	PGOHUM00000243990	1	44553631	44553772
PseudoGene	PGOHUM00000243991	1	44569012	44570375
PseudoGene	PGOHUM00000243992	1	44616473	44617317
PseudoGene	PGOHUM00000243993	1	44617568	44617746
PseudoGene	PGOHUM00000243994	1	44620614	44620974
PseudoGene	PGOHUM00000243995	1	44638178	44638390
PseudoGene	PGOHUM00000243996	1	44653698	44654329
PseudoGene	PGOHUM00000243997	1	45246001	45246387
PseudoGene	PGOHUM00000243998	1	45309596	45309942
PseudoGene	PGOHUM00000243999	1	45453909	45454397
PseudoGene	PGOHUM00000244000	1	45457506	45457895
PseudoGene	PGOHUM00000244001	1	45535652	45536101
