database	name	name2	chr	chromStart	chromEnd
UCSC	p36.33	filler	1	0	2300000
UCSC	p36.32	filler	1	2300000	5400000
UCSC	p36.31	filler	1	5400000	7200000
UCSC	p36.23	filler	1	7200000	9200000
UCSC	p36.22	filler	1	9200000	12700000
UCSC	p36.21	filler	1	12700000	16200000
UCSC	p36.13	filler	1	16200000	20400000
UCSC	p36.12	filler	1	20400000	23900000
UCSC	p36.11	filler	1	23900000	28000000
UCSC	p35.3	filler	1	28000000	30200000
UCSC	p35.2	filler	1	30200000	32400000
UCSC	p35.1	filler	1	32400000	34600000
UCSC	p34.3	filler	1	34600000	40100000
UCSC	p34.2	filler	1	40100000	44100000
UCSC	p34.1	filler	1	44100000	46800000
UCSC	p33	filler	1	46800000	50700000
UCSC	p32.3	filler	1	50700000	56100000
UCSC	p32.2	filler	1	56100000	59000000
UCSC	p32.1	filler	1	59000000	61300000
UCSC	p31.3	filler	1	61300000	68900000
UCSC	p31.2	filler	1	68900000	69700000
UCSC	p31.1	filler	1	69700000	84900000
UCSC	p22.3	filler	1	84900000	88400000
UCSC	p22.2	filler	1	88400000	92000000
UCSC	p22.1	filler	1	92000000	94700000
UCSC	p21.3	filler	1	94700000	99700000
UCSC	p21.2	filler	1	99700000	102200000
UCSC	p21.1	filler	1	102200000	107200000
UCSC	p13.3	filler	1	107200000	111800000
UCSC	p13.2	filler	1	111800000	116100000
UCSC	p13.1	filler	1	116100000	117800000
UCSC	p12	filler	1	117800000	120600000
UCSC	p11.2	filler	1	120600000	121500000
UCSC	p11.1	filler	1	121500000	125000000
UCSC	q11	filler	1	125000000	128900000
UCSC	q12	filler	1	128900000	142600000
UCSC	q21.1	filler	1	142600000	147000000
UCSC	q21.2	filler	1	147000000	150300000
UCSC	q21.3	filler	1	150300000	155000000
UCSC	q22	filler	1	155000000	156500000
UCSC	q23.1	filler	1	156500000	159100000
UCSC	q23.2	filler	1	159100000	160500000
UCSC	q23.3	filler	1	160500000	165500000
UCSC	q24.1	filler	1	165500000	167200000
UCSC	q24.2	filler	1	167200000	170900000
UCSC	q24.3	filler	1	170900000	172900000
UCSC	q25.1	filler	1	172900000	176000000
UCSC	q25.2	filler	1	176000000	180300000
UCSC	q25.3	filler	1	180300000	185800000
UCSC	q31.1	filler	1	185800000	190800000
UCSC	q31.2	filler	1	190800000	193800000
UCSC	q31.3	filler	1	193800000	198700000
UCSC	q32.1	filler	1	198700000	207200000
UCSC	q32.2	filler	1	207200000	211500000
UCSC	q32.3	filler	1	211500000	214500000
UCSC	q41	filler	1	214500000	224100000
UCSC	q42.11	filler	1	224100000	224600000
UCSC	q42.12	filler	1	224600000	227000000
UCSC	q42.13	filler	1	227000000	230700000
UCSC	q42.2	filler	1	230700000	234700000
UCSC	q42.3	filler	1	234700000	236600000
UCSC	q43	filler	1	236600000	243700000
UCSC	q44	filler	1	243700000	249250621
UCSC	p25.3	filler	2	0	4400000
UCSC	p25.2	filler	2	4400000	7100000
UCSC	p25.1	filler	2	7100000	12200000
UCSC	p24.3	filler	2	12200000	16700000
UCSC	p24.2	filler	2	16700000	19200000
UCSC	p24.1	filler	2	19200000	24000000
UCSC	p23.3	filler	2	24000000	27900000
UCSC	p23.2	filler	2	27900000	30000000
UCSC	p23.1	filler	2	30000000	32100000
UCSC	p22.3	filler	2	32100000	36600000
UCSC	p22.2	filler	2	36600000	38600000
UCSC	p22.1	filler	2	38600000	41800000
UCSC	p21	filler	2	41800000	47800000
UCSC	p16.3	filler	2	47800000	52900000
UCSC	p16.2	filler	2	52900000	55000000
UCSC	p16.1	filler	2	55000000	61300000
UCSC	p15	filler	2	61300000	64100000
UCSC	p14	filler	2	64100000	68600000
UCSC	p13.3	filler	2	68600000	71500000
UCSC	p13.2	filler	2	71500000	73500000
UCSC	p13.1	filler	2	73500000	75000000
UCSC	p12	filler	2	75000000	83300000
UCSC	p11.2	filler	2	83300000	90500000
UCSC	p11.1	filler	2	90500000	93300000
UCSC	q11.1	filler	2	93300000	96800000
UCSC	q11.2	filler	2	96800000	102700000
UCSC	q12.1	filler	2	102700000	106000000
UCSC	q12.2	filler	2	106000000	107500000
UCSC	q12.3	filler	2	107500000	110200000
UCSC	q13	filler	2	110200000	114400000
UCSC	q14.1	filler	2	114400000	118800000
UCSC	q14.2	filler	2	118800000	122400000
UCSC	q14.3	filler	2	122400000	129900000
UCSC	q21.1	filler	2	129900000	132500000
UCSC	q21.2	filler	2	132500000	135100000
UCSC	q21.3	filler	2	135100000	136800000
UCSC	q22.1	filler	2	136800000	142200000
UCSC	q22.2	filler	2	142200000	144100000
UCSC	q22.3	filler	2	144100000	148700000
UCSC	q23.1	filler	2	148700000	149900000
UCSC	q23.2	filler	2	149900000	150500000
UCSC	q23.3	filler	2	150500000	154900000
UCSC	q24.1	filler	2	154900000	159800000
UCSC	q24.2	filler	2	159800000	163700000
UCSC	q24.3	filler	2	163700000	169700000
UCSC	q31.1	filler	2	169700000	178000000
UCSC	q31.2	filler	2	178000000	180600000
UCSC	q31.3	filler	2	180600000	183000000
UCSC	q32.1	filler	2	183000000	189400000
UCSC	q32.2	filler	2	189400000	191900000
UCSC	q32.3	filler	2	191900000	197400000
UCSC	q33.1	filler	2	197400000	203300000
UCSC	q33.2	filler	2	203300000	204900000
UCSC	q33.3	filler	2	204900000	209000000
UCSC	q34	filler	2	209000000	215300000
UCSC	q35	filler	2	215300000	221500000
UCSC	q36.1	filler	2	221500000	225200000
UCSC	q36.2	filler	2	225200000	226100000
UCSC	q36.3	filler	2	226100000	231000000
UCSC	q37.1	filler	2	231000000	235600000
UCSC	q37.2	filler	2	235600000	237300000
UCSC	q37.3	filler	2	237300000	243199373
UCSC	p26.3	filler	3	0	2800000
UCSC	p26.2	filler	3	2800000	4000000
UCSC	p26.1	filler	3	4000000	8700000
UCSC	p25.3	filler	3	8700000	11800000
UCSC	p25.2	filler	3	11800000	13300000
UCSC	p25.1	filler	3	13300000	16400000
UCSC	p24.3	filler	3	16400000	23900000
UCSC	p24.2	filler	3	23900000	26400000
UCSC	p24.1	filler	3	26400000	30900000
UCSC	p23	filler	3	30900000	32100000
UCSC	p22.3	filler	3	32100000	36500000
UCSC	p22.2	filler	3	36500000	39400000
UCSC	p22.1	filler	3	39400000	43700000
UCSC	p21.33	filler	3	43700000	44100000
UCSC	p21.32	filler	3	44100000	44200000
UCSC	p21.31	filler	3	44200000	50600000
UCSC	p21.2	filler	3	50600000	52300000
UCSC	p21.1	filler	3	52300000	54400000
UCSC	p14.3	filler	3	54400000	58600000
UCSC	p14.2	filler	3	58600000	63700000
UCSC	p14.1	filler	3	63700000	69800000
UCSC	p13	filler	3	69800000	74200000
UCSC	p12.3	filler	3	74200000	79800000
UCSC	p12.2	filler	3	79800000	83500000
UCSC	p12.1	filler	3	83500000	87200000
UCSC	p11.2	filler	3	87200000	87900000
UCSC	p11.1	filler	3	87900000	91000000
UCSC	q11.1	filler	3	91000000	93900000
UCSC	q11.2	filler	3	93900000	98300000
UCSC	q12.1	filler	3	98300000	100000000
UCSC	q12.2	filler	3	100000000	100900000
UCSC	q12.3	filler	3	100900000	102800000
UCSC	q13.11	filler	3	102800000	106200000
UCSC	q13.12	filler	3	106200000	107900000
UCSC	q13.13	filler	3	107900000	111300000
UCSC	q13.2	filler	3	111300000	113500000
UCSC	q13.31	filler	3	113500000	117300000
UCSC	q13.32	filler	3	117300000	119000000
UCSC	q13.33	filler	3	119000000	121900000
UCSC	q21.1	filler	3	121900000	123800000
UCSC	q21.2	filler	3	123800000	125800000
UCSC	q21.3	filler	3	125800000	129200000
UCSC	q22.1	filler	3	129200000	133700000
UCSC	q22.2	filler	3	133700000	135700000
UCSC	q22.3	filler	3	135700000	138700000
UCSC	q23	filler	3	138700000	142800000
UCSC	q24	filler	3	142800000	148900000
UCSC	q25.1	filler	3	148900000	152100000
UCSC	q25.2	filler	3	152100000	155000000
UCSC	q25.31	filler	3	155000000	157000000
UCSC	q25.32	filler	3	157000000	159000000
UCSC	q25.33	filler	3	159000000	160700000
UCSC	q26.1	filler	3	160700000	167600000
UCSC	q26.2	filler	3	167600000	170900000
UCSC	q26.31	filler	3	170900000	175700000
UCSC	q26.32	filler	3	175700000	179000000
UCSC	q26.33	filler	3	179000000	182700000
UCSC	q27.1	filler	3	182700000	184500000
UCSC	q27.2	filler	3	184500000	186000000
UCSC	q27.3	filler	3	186000000	187900000
UCSC	q28	filler	3	187900000	192300000
UCSC	q29	filler	3	192300000	198022430
UCSC	p16.3	filler	4	0	4500000
UCSC	p16.2	filler	4	4500000	6000000
UCSC	p16.1	filler	4	6000000	11300000
UCSC	p15.33	filler	4	11300000	15200000
UCSC	p15.32	filler	4	15200000	17800000
UCSC	p15.31	filler	4	17800000	21300000
UCSC	p15.2	filler	4	21300000	27700000
UCSC	p15.1	filler	4	27700000	35800000
UCSC	p14	filler	4	35800000	41200000
UCSC	p13	filler	4	41200000	44600000
UCSC	p12	filler	4	44600000	48200000
UCSC	p11	filler	4	48200000	50400000
UCSC	q11	filler	4	50400000	52700000
UCSC	q12	filler	4	52700000	59500000
UCSC	q13.1	filler	4	59500000	66600000
UCSC	q13.2	filler	4	66600000	70500000
UCSC	q13.3	filler	4	70500000	76300000
UCSC	q21.1	filler	4	76300000	78900000
UCSC	q21.21	filler	4	78900000	82400000
UCSC	q21.22	filler	4	82400000	84100000
UCSC	q21.23	filler	4	84100000	86900000
UCSC	q21.3	filler	4	86900000	88000000
UCSC	q22.1	filler	4	88000000	93700000
UCSC	q22.2	filler	4	93700000	95100000
UCSC	q22.3	filler	4	95100000	98800000
UCSC	q23	filler	4	98800000	101100000
UCSC	q24	filler	4	101100000	107700000
UCSC	q25	filler	4	107700000	114100000
UCSC	q26	filler	4	114100000	120800000
UCSC	q27	filler	4	120800000	123800000
UCSC	q28.1	filler	4	123800000	128800000
UCSC	q28.2	filler	4	128800000	131100000
UCSC	q28.3	filler	4	131100000	139500000
UCSC	q31.1	filler	4	139500000	141500000
UCSC	q31.21	filler	4	141500000	146800000
UCSC	q31.22	filler	4	146800000	148500000
UCSC	q31.23	filler	4	148500000	151100000
UCSC	q31.3	filler	4	151100000	155600000
UCSC	q32.1	filler	4	155600000	161800000
UCSC	q32.2	filler	4	161800000	164500000
UCSC	q32.3	filler	4	164500000	170100000
UCSC	q33	filler	4	170100000	171900000
UCSC	q34.1	filler	4	171900000	176300000
UCSC	q34.2	filler	4	176300000	177500000
UCSC	q34.3	filler	4	177500000	183200000
UCSC	q35.1	filler	4	183200000	187100000
UCSC	q35.2	filler	4	187100000	191154276
UCSC	p15.33	filler	5	0	4500000
UCSC	p15.32	filler	5	4500000	6300000
UCSC	p15.31	filler	5	6300000	9800000
UCSC	p15.2	filler	5	9800000	15000000
UCSC	p15.1	filler	5	15000000	18400000
UCSC	p14.3	filler	5	18400000	23300000
UCSC	p14.2	filler	5	23300000	24600000
UCSC	p14.1	filler	5	24600000	28900000
UCSC	p13.3	filler	5	28900000	33800000
UCSC	p13.2	filler	5	33800000	38400000
UCSC	p13.1	filler	5	38400000	42500000
UCSC	p12	filler	5	42500000	46100000
UCSC	p11	filler	5	46100000	48400000
UCSC	q11.1	filler	5	48400000	50700000
UCSC	q11.2	filler	5	50700000	58900000
UCSC	q12.1	filler	5	58900000	62900000
UCSC	q12.2	filler	5	62900000	63200000
UCSC	q12.3	filler	5	63200000	66700000
UCSC	q13.1	filler	5	66700000	68400000
UCSC	q13.2	filler	5	68400000	73300000
UCSC	q13.3	filler	5	73300000	76900000
UCSC	q14.1	filler	5	76900000	81400000
UCSC	q14.2	filler	5	81400000	82800000
UCSC	q14.3	filler	5	82800000	92300000
UCSC	q15	filler	5	92300000	98200000
UCSC	q21.1	filler	5	98200000	102800000
UCSC	q21.2	filler	5	102800000	104500000
UCSC	q21.3	filler	5	104500000	109600000
UCSC	q22.1	filler	5	109600000	111500000
UCSC	q22.2	filler	5	111500000	113100000
UCSC	q22.3	filler	5	113100000	115200000
UCSC	q23.1	filler	5	115200000	121400000
UCSC	q23.2	filler	5	121400000	127300000
UCSC	q23.3	filler	5	127300000	130600000
UCSC	q31.1	filler	5	130600000	136200000
UCSC	q31.2	filler	5	136200000	139500000
UCSC	q31.3	filler	5	139500000	144500000
UCSC	q32	filler	5	144500000	149800000
UCSC	q33.1	filler	5	149800000	152700000
UCSC	q33.2	filler	5	152700000	155700000
UCSC	q33.3	filler	5	155700000	159900000
UCSC	q34	filler	5	159900000	168500000
UCSC	q35.1	filler	5	168500000	172800000
UCSC	q35.2	filler	5	172800000	176600000
UCSC	q35.3	filler	5	176600000	180915260
UCSC	p25.3	filler	6	0	2300000
UCSC	p25.2	filler	6	2300000	4200000
UCSC	p25.1	filler	6	4200000	7100000
UCSC	p24.3	filler	6	7100000	10600000
UCSC	p24.2	filler	6	10600000	11600000
UCSC	p24.1	filler	6	11600000	13400000
UCSC	p23	filler	6	13400000	15200000
UCSC	p22.3	filler	6	15200000	25200000
UCSC	p22.2	filler	6	25200000	27000000
UCSC	p22.1	filler	6	27000000	30400000
UCSC	p21.33	filler	6	30400000	32100000
UCSC	p21.32	filler	6	32100000	33500000
UCSC	p21.31	filler	6	33500000	36600000
UCSC	p21.2	filler	6	36600000	40500000
UCSC	p21.1	filler	6	40500000	46200000
UCSC	p12.3	filler	6	46200000	51800000
UCSC	p12.2	filler	6	51800000	52900000
UCSC	p12.1	filler	6	52900000	57000000
UCSC	p11.2	filler	6	57000000	58700000
UCSC	p11.1	filler	6	58700000	61000000
UCSC	q11.1	filler	6	61000000	63300000
UCSC	q11.2	filler	6	63300000	63400000
UCSC	q12	filler	6	63400000	70000000
UCSC	q13	filler	6	70000000	75900000
UCSC	q14.1	filler	6	75900000	83900000
UCSC	q14.2	filler	6	83900000	84900000
UCSC	q14.3	filler	6	84900000	88000000
UCSC	q15	filler	6	88000000	93100000
UCSC	q16.1	filler	6	93100000	99500000
UCSC	q16.2	filler	6	99500000	100600000
UCSC	q16.3	filler	6	100600000	105500000
UCSC	q21	filler	6	105500000	114600000
UCSC	q22.1	filler	6	114600000	118300000
UCSC	q22.2	filler	6	118300000	118500000
UCSC	q22.31	filler	6	118500000	126100000
UCSC	q22.32	filler	6	126100000	127100000
UCSC	q22.33	filler	6	127100000	130300000
UCSC	q23.1	filler	6	130300000	131200000
UCSC	q23.2	filler	6	131200000	135200000
UCSC	q23.3	filler	6	135200000	139000000
UCSC	q24.1	filler	6	139000000	142800000
UCSC	q24.2	filler	6	142800000	145600000
UCSC	q24.3	filler	6	145600000	149000000
UCSC	q25.1	filler	6	149000000	152500000
UCSC	q25.2	filler	6	152500000	155500000
UCSC	q25.3	filler	6	155500000	161000000
UCSC	q26	filler	6	161000000	164500000
UCSC	q27	filler	6	164500000	171115067
UCSC	p22.3	filler	7	0	2800000
UCSC	p22.2	filler	7	2800000	4500000
UCSC	p22.1	filler	7	4500000	7300000
UCSC	p21.3	filler	7	7300000	13800000
UCSC	p21.2	filler	7	13800000	16500000
UCSC	p21.1	filler	7	16500000	20900000
UCSC	p15.3	filler	7	20900000	25500000
UCSC	p15.2	filler	7	25500000	28000000
UCSC	p15.1	filler	7	28000000	28800000
UCSC	p14.3	filler	7	28800000	35000000
UCSC	p14.2	filler	7	35000000	37200000
UCSC	p14.1	filler	7	37200000	43300000
UCSC	p13	filler	7	43300000	45400000
UCSC	p12.3	filler	7	45400000	49000000
UCSC	p12.2	filler	7	49000000	50500000
UCSC	p12.1	filler	7	50500000	54000000
UCSC	p11.2	filler	7	54000000	58000000
UCSC	p11.1	filler	7	58000000	59900000
UCSC	q11.1	filler	7	59900000	61700000
UCSC	q11.21	filler	7	61700000	67000000
UCSC	q11.22	filler	7	67000000	72200000
UCSC	q11.23	filler	7	72200000	77500000
UCSC	q21.11	filler	7	77500000	86400000
UCSC	q21.12	filler	7	86400000	88200000
UCSC	q21.13	filler	7	88200000	91100000
UCSC	q21.2	filler	7	91100000	92800000
UCSC	q21.3	filler	7	92800000	98000000
UCSC	q22.1	filler	7	98000000	103800000
UCSC	q22.2	filler	7	103800000	104500000
UCSC	q22.3	filler	7	104500000	107400000
UCSC	q31.1	filler	7	107400000	114600000
UCSC	q31.2	filler	7	114600000	117400000
UCSC	q31.31	filler	7	117400000	121100000
UCSC	q31.32	filler	7	121100000	123800000
UCSC	q31.33	filler	7	123800000	127100000
UCSC	q32.1	filler	7	127100000	129200000
UCSC	q32.2	filler	7	129200000	130400000
UCSC	q32.3	filler	7	130400000	132600000
UCSC	q33	filler	7	132600000	138200000
UCSC	q34	filler	7	138200000	143100000
UCSC	q35	filler	7	143100000	147900000
UCSC	q36.1	filler	7	147900000	152600000
UCSC	q36.2	filler	7	152600000	155100000
UCSC	q36.3	filler	7	155100000	159138663
UCSC	p23.3	filler	8	0	2200000
UCSC	p23.2	filler	8	2200000	6200000
UCSC	p23.1	filler	8	6200000	12700000
UCSC	p22	filler	8	12700000	19000000
UCSC	p21.3	filler	8	19000000	23300000
UCSC	p21.2	filler	8	23300000	27400000
UCSC	p21.1	filler	8	27400000	28800000
UCSC	p12	filler	8	28800000	36500000
UCSC	p11.23	filler	8	36500000	38300000
UCSC	p11.22	filler	8	38300000	39700000
UCSC	p11.21	filler	8	39700000	43100000
UCSC	p11.1	filler	8	43100000	45600000
UCSC	q11.1	filler	8	45600000	48100000
UCSC	q11.21	filler	8	48100000	52200000
UCSC	q11.22	filler	8	52200000	52600000
UCSC	q11.23	filler	8	52600000	55500000
UCSC	q12.1	filler	8	55500000	61600000
UCSC	q12.2	filler	8	61600000	62200000
UCSC	q12.3	filler	8	62200000	66000000
UCSC	q13.1	filler	8	66000000	68000000
UCSC	q13.2	filler	8	68000000	70500000
UCSC	q13.3	filler	8	70500000	73900000
UCSC	q21.11	filler	8	73900000	78300000
UCSC	q21.12	filler	8	78300000	80100000
UCSC	q21.13	filler	8	80100000	84600000
UCSC	q21.2	filler	8	84600000	86900000
UCSC	q21.3	filler	8	86900000	93300000
UCSC	q22.1	filler	8	93300000	99000000
UCSC	q22.2	filler	8	99000000	101600000
UCSC	q22.3	filler	8	101600000	106200000
UCSC	q23.1	filler	8	106200000	110500000
UCSC	q23.2	filler	8	110500000	112100000
UCSC	q23.3	filler	8	112100000	117700000
UCSC	q24.11	filler	8	117700000	119200000
UCSC	q24.12	filler	8	119200000	122500000
UCSC	q24.13	filler	8	122500000	127300000
UCSC	q24.21	filler	8	127300000	131500000
UCSC	q24.22	filler	8	131500000	136400000
UCSC	q24.23	filler	8	136400000	139900000
UCSC	q24.3	filler	8	139900000	146364022
UCSC	p24.3	filler	9	0	2200000
UCSC	p24.2	filler	9	2200000	4600000
UCSC	p24.1	filler	9	4600000	9000000
UCSC	p23	filler	9	9000000	14200000
UCSC	p22.3	filler	9	14200000	16600000
UCSC	p22.2	filler	9	16600000	18500000
UCSC	p22.1	filler	9	18500000	19900000
UCSC	p21.3	filler	9	19900000	25600000
UCSC	p21.2	filler	9	25600000	28000000
UCSC	p21.1	filler	9	28000000	33200000
UCSC	p13.3	filler	9	33200000	36300000
UCSC	p13.2	filler	9	36300000	38400000
UCSC	p13.1	filler	9	38400000	41000000
UCSC	p12	filler	9	41000000	43600000
