database_from	Gene_name	Transcript_id	Chr	Start	Stop
exac_lofintol	SKI	ENST00000378536.4	1	2160205	2238204
exac_lofintol	GNB1	ENST00000378609.4	1	1718769	1756892
exac_lofintol	GABRD	ENST00000378585.4	1	1950862	1961721
exac_lofintol	RER1	ENST00000605895.1	1	2327229	2334563
exac_lofintol	PRDM16	ENST00000270722.5	1	2985823	3350375
exac_lofintol	TP73	ENST00000378295.4	1	3598929	3649643
exac_lofintol	PANK4	ENST00000378466.3	1	2440285	2458026
exac_lofintol	ICMT	ENST00000343813.5	1	6285139	6295971
exac_lofintol	AJAP1	ENST00000378191.4	1	4715485	4834559
exac_lofintol	CHD5	ENST00000262450.3	1	6166339	6240083
exac_lofintol	PHF13	ENST00000377648.4	1	6674126	6681697
exac_lofintol	DNAJC11	ENST00000377577.5	1	6695734	6761860
exac_lofintol	PIK3CD	ENST00000377346.4	1	9770513	9787104
exac_lofintol	CAMTA1	ENST00000303635.7	1	6845590	7826551
exac_lofintol	PARK7	ENST00000493678.1	1	8022845	8045114
exac_lofintol	RERE	ENST00000337907.3	1	8415146	8716356
exac_lofintol	TARDBP	ENST00000240185.3	1	11073784	11082711
exac_lofintol	PGD	ENST00000270776.8	1	10459174	10479806
exac_lofintol	CASZ1	ENST00000377022.3	1	10698998	10753946
exac_lofintol	KIF1B	ENST00000263934.6	1	10292386	10436645
exac_lofintol	UBE4B	ENST00000343090.6	1	10093728	10240014
exac_lofintol	MFN2	ENST00000235329.5	1	12049225	12071622
exac_lofintol	MTOR	ENST00000361445.4	1	11167541	11319466
exac_lofintol	VPS13D	ENST00000358136.3	1	12294323	12569078
exac_lofintol	PRDM2	ENST00000235372.7	1	14042100	14143042
exac_lofintol	SPEN	ENST00000375759.3	1	16174562	16265922
exac_lofintol	ZBTB17	ENST00000375743.4	1	16268463	16274990
exac_lofintol	DDI2	ENST00000480945.1	1	15944165	15983128
exac_lofintol	FBXO42	ENST00000375592.3	1	16577164	16641913
exac_lofintol	UBR4	ENST00000375254.3	1	19401325	19536742
exac_lofintol	EIF4G3	ENST00000602326.1	1	21133811	21329235
exac_lofintol	ECE1	ENST00000374893.6	1	21546447	21616907
exac_lofintol	HP1BP3	ENST00000312239.5	1	21071289	21106933
exac_lofintol	RAP1GAP	ENST00000290101.4	1	21924212	21978315
exac_lofintol	EPHB2	ENST00000374632.3	1	23037475	23240063
exac_lofintol	USP48	ENST00000308271.9	1	22005909	22109450
exac_lofintol	KDM1A	ENST00000400181.4	1	23346089	23409857
exac_lofintol	HNRNPR	ENST00000374616.3	1	23636946	23667501
exac_lofintol	TCEB3	ENST00000418390.2	1	24069915	24086063
exac_lofintol	LYPLA2	ENST00000374514.3	1	24119172	24121222
exac_lofintol	E2F2	ENST00000361729.2	1	23836371	23857285
exac_lofintol	TMEM57	ENST00000374343.4	1	25757589	25824957
exac_lofintol	GRHL3	ENST00000350501.5	1	24646041	24690861
exac_lofintol	SRRM1	ENST00000323848.9	1	24969817	24998777
exac_lofintol	WDTC1	ENST00000361771.3	1	27587545	27632874
exac_lofintol	ARID1A	ENST00000324856.7	1	27022894	27107247
exac_lofintol	SLC9A1	ENST00000263980.3	1	27426797	27480825
exac_lofintol	EYA3	ENST00000373871.3	1	28300976	28384537
exac_lofintol	PPP1R8	ENST00000311772.5	1	28157346	28176957
exac_lofintol	AHDC1	ENST00000374011.2	1	27873814	27878626
exac_lofintol	WASF2	ENST00000430629.2	1	27734682	27755400
exac_lofintol	SRSF4	ENST00000373795.4	1	29474921	29508264
exac_lofintol	PUM1	ENST00000426105.2	1	31406057	31532413
exac_lofintol	PTPRU	ENST00000345512.3	1	29563156	29652173
exac_lofintol	GMEB1	ENST00000294409.2	1	29010124	29041285
exac_lofintol	YTHDF2	ENST00000373812.3	1	29063632	29095464
exac_lofintol	BAI2	ENST00000373658.3	1	32193020	32222822
exac_lofintol	KPNA6	ENST00000373625.3	1	32573731	32636495
exac_lofintol	TXLNA	ENST00000373609.1	1	32645946	32660796
exac_lofintol	KHDRBS1	ENST00000327300.7	1	32479596	32508225
exac_lofintol	ZBTB8OS	ENST00000468695.1	1	33087462	33116166
exac_lofintol	HDAC1	ENST00000373548.3	1	32757770	32798645
exac_lofintol	RBBP4	ENST00000373493.5	1	33116907	33145306
exac_lofintol	LCK	ENST00000336890.5	1	32739930	32751317
exac_lofintol	S100PBP	ENST00000373475.5	1	33291700	33321639
exac_lofintol	SFPQ	ENST00000357214.5	1	35650056	35658650
exac_lofintol	DLGAP3	ENST00000373347.1	1	35331683	35370984
exac_lofintol	ZNF362	ENST00000539719.1	1	33736175	33764647
exac_lofintol	ZMYM4	ENST00000314607.6	1	35734647	35885278
exac_lofintol	AGO3	ENST00000373191.4	1	36397027	36521346
exac_lofintol	AGO4	ENST00000373210.3	1	36274017	36319206
exac_lofintol	MAP7D1	ENST00000373151.2	1	36622018	36645859
